Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Jun 201115m,Mar 20129m,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2011,Mar 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Ratios,Cash Conversion Cycle,,0,,,,0,,,,0,,,,-76,,,194,55,-347,-508,23,0,,-43,188,,,,,,,,,,,,,
Ratios,Working Capital Days,,-12525,,,,-12773,,,,-12176,,,,189,,,-62,-483,-677,-1426,-2093,-2646,,86,423,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,13%,,,0%,3%,-6%,,,,,16%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,,,,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,14.29%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,,,,0.95%,0.95%,0.95%,0.38%,0.38%,0.38%,0.38%,0.43%,0.42%,0.20%,0.16%,0.07%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,,,,14.60%,11.51%,11.29%,11.29%,11.29%,11.29%,10.26%,10.26%,10.26%,10.26%,10.26%,10.26%,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,,,,70.16%,73.23%,73.46%,74.04%,74.03%,74.02%,75.06%,75.01%,75.03%,75.24%,75.27%,75.36%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,,,,122354,124704,123539,123529,122503,127961,129231,142156,139035,153154,165541,168089,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,32.41%,,,,32.41%,,,,32.41%,,,,,,,,,,,30.25%,30.25%,,,,,,,14.29%,,,,14.29%,,,,14.29%,14.29%
Shareholding Pattern (Yearly),FIIs,,0.20%,,,,0.22%,,,,0.34%,,,,,,,,,,,0.00%,0.21%,,,,,,,0.38%,,,,0.43%,,,,0.07%,1.69%
Shareholding Pattern (Yearly),DIIs,,23.40%,,,,21.34%,,,,21.35%,,,,,,,,,,,38.04%,38.56%,,,,,,,11.29%,,,,10.26%,,,,10.26%,19.10%
Shareholding Pattern (Yearly),Public,,43.99%,,,,46.03%,,,,45.90%,,,,,,,,,,,31.71%,30.99%,,,,,,,74.04%,,,,75.01%,,,,75.36%,64.92%
Shareholding Pattern (Yearly),No. of Shareholders,,69359,,,,68454,,,,69335,,,,,,,,,,,79733,71196,,,,,,,123529,,,,142156,,,,168089,112941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
