Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Interest,10,,,,12,,,,12,,,,10,0,1,0,1,2,8,13,12
Profit & Loss,Depreciation,24,,,,26,,,,26,,,,22,4,4,4,7,7,10,21,21
Profit & Loss,Profit before tax,168,,,,152,,,,181,,,,280,135,161,165,235,265,130,230,131
Profit & Loss,Tax %,28%,,,,24%,,,,18%,,,,24%,22%,28%,28%,29%,27%,30%,21%,18%
Profit & Loss,Net Profit,121,,,,116,,,,148,,,,213,106,116,118,166,193,92,182,107
Profit & Loss,EPS in Rs,17.20,,,,16.64,,,,21.48,,,,30.89,15.10,16.56,16.91,23.77,27.52,13.19,25.94,15.34
Profit & Loss,Dividend Payout %,52%,,,,30%,,,,61%,,,,43%,43%,42%,74%,19%,16%,34%,89%,33%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,14,7,7,7,14,14,14,14,14
Balance Sheet,Reserves,825,,,,867,,,,735,,,,747,269,299,312,451,598,652,625,745
Balance Sheet,Borrowings,254,,,,232,,,,170,,,,142,0,0,0,19,26,188,210,219
Balance Sheet,Other Liabilities,267,,,,281,,,,291,,,,431,118,116,104,121,119,211,215,236
Balance Sheet,Total Liabilities,1361,,,,1394,,,,1210,,,,1334,393,423,422,605,757,1065,1064,1214
Balance Sheet,Fixed Assets,355,,,,351,,,,327,,,,322,70,68,77,79,82,237,318,354
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,8,0,3,0,0,6,2,0
Balance Sheet,Investments,500,,,,527,,,,373,,,,440,199,242,162,292,422,458,412,484
Balance Sheet,Other Assets,506,,,,516,,,,510,,,,572,117,112,180,234,252,363,332,375
Balance Sheet,Total Assets,1361,,,,1394,,,,1210,,,,1334,393,423,422,605,757,1065,1064,1214
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,57,,,,125,,,,162,,,,259,90,104,89,95,107,140,157,89
Cash Flows,Cash from Investing Activity,6,,,,-12,,,,193,,,,-41,-60,-37,70,-65,-102,-250,78,-53
Cash Flows,Cash from Financing Activity,-34,,,,-124,,,,-367,,,,-224,-33,-66,-145,-5,-29,118,-241,-21
Cash Flows,Net Cash Flow,29,,,,-10,,,,-12,,,,-6,-3,1,13,25,-25,7,-6,14
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,73,,,,35,,,,53,,,,33,31,23,38,25,28,45,40,67
Ratios,Inventory Days,111,,,,137,,,,140,,,,129,62,70,100,77,75,96,74,87
Ratios,Days Payable,95,,,,91,,,,90,,,,82,56,61,90,55,55,104,72,100
Ratios,Cash Conversion Cycle,88,,,,81,,,,103,,,,80,37,32,48,48,48,38,42,55
Ratios,Working Capital Days,68,,,,55,,,,50,,,,53,-1,-3,29,33,53,38,36,44
Ratios,ROCE %,17%,,,,15%,,,,19%,,,,37%,54%,50%,51%,58%,46%,22%,29%,16%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.25%,73.25%,73.25%,73.25%,73.38%,73.38%,73.38%,73.38%,73.38%,73.42%,73.42%,73.42%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.33%,4.03%,4.01%,3.74%,3.62%,3.81%,3.40%,3.32%,4.83%,6.11%,6.78%,6.17%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.89%,11.14%,11.22%,11.10%,10.69%,10.44%,11.03%,10.27%,9.98%,8.96%,8.45%,8.68%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,11.53%,11.59%,11.53%,11.91%,12.29%,12.34%,12.17%,13.02%,11.80%,11.51%,11.33%,11.71%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,53364,52377,51960,139980,68355,66711,67660,72439,54960,202229,148974,140637,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.25%,,,,73.25%,,,,73.38%,,,,73.42%,,,,75.00%,75.00%,75.00%,75.00%,73.25%
Shareholding Pattern (Yearly),FIIs,4.49%,,,,3.74%,,,,3.32%,,,,6.17%,,,,7.56%,7.15%,6.67%,5.28%,4.33%
Shareholding Pattern (Yearly),DIIs,10.05%,,,,11.10%,,,,10.27%,,,,8.68%,,,,5.19%,7.50%,8.64%,10.19%,10.27%
Shareholding Pattern (Yearly),Public,12.21%,,,,11.91%,,,,13.02%,,,,11.71%,,,,12.25%,10.35%,9.69%,9.53%,12.15%
Shareholding Pattern (Yearly),No. of Shareholders,58538,,,,139980,,,,72439,,,,140637,,,,16600,18106,22688,25560,38687
,,,,,,,,,,,,,,,,,,,,,,
