Section,,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Other Income,4,,,,-11,,,,12,,,,3,2,0,1,4,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,3,,,,5,,,,3,,,,1,2,4,2,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,21,,,,24,,,,35,,,,26,13,16,17,17,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,55,,,,33,,,,112,,,,155,62,62,51,32,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,30%,,,,33%,,,,36%,,,,34%,14%,6%,4%,-2%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,35,,,,21,,,,72,,,,102,53,58,49,33,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,5.55,,,,3.42,,,,11.60,,,,16.38,8.48,9.34,7.84,5.22,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,63%,,,,73%,,,,39%,,,,34%,41%,37%,45%,67%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,31,,,,31,,,,31,,,,31,31,31,31,31,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,161,,,,164,,,,205,,,,252,88,121,144,151,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,34,,,,59,,,,0,,,,0,55,13,34,25,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,108,,,,112,,,,153,,,,182,84,77,87,94,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,335,,,,365,,,,388,,,,466,259,242,296,302,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,100,,,,99,,,,97,,,,98,99,97,90,91,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,10,,,,21,,,,13,,,,3,2,1,0,12,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,224,,,,245,,,,279,,,,364,158,144,206,199,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,335,,,,365,,,,388,,,,466,259,242,296,302,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,62,,,,38,,,,129,,,,143,14,80,14,71,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-33,,,,-30,,,,-22,,,,-29,-41,-14,-10,-29,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-23,,,,-11,,,,-79,,,,-32,28,-71,-6,-36,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,6,,,,-4,,,,28,,,,82,1,-5,-2,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,85,,,,83,,,,73,,,,66,95,80,123,94,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,0,,,,,,,,0,,,,,2,,1,9,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,385,,,,,,,,,,,,,400,,549,678,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-300,,,,83,,,,73,,,,66,-303,80,-425,-575,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,33,,,,38,,,,22,,,,10,52,39,103,38,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,27%,,,,22%,,,,47%,,,,60%,,39%,28%,16%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,43.92%,43.92%,43.92%,43.92%,43.92%,43.92%,43.92%,43.92%,43.92%,43.91%,43.91%,43.91%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,15.17%,15.37%,13.89%,13.85%,14.22%,13.80%,15.02%,14.56%,13.67%,13.65%,13.27%,12.73%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,4.21%,3.91%,3.43%,3.54%,4.08%,4.80%,5.71%,6.06%,6.24%,7.38%,7.50%,8.54%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,36.71%,36.80%,38.75%,38.67%,37.77%,37.46%,35.34%,35.47%,36.16%,35.04%,35.30%,34.82%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,460566,496548,579054,582903,562362,566920,516330,537460,574515,550841,572719,589967,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,,,43.92%,,,,43.92%,,,,43.91%,44.63%,44.57%,44.53%,44.53%,44.53%,44.08%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,,,13.85%,,,,14.56%,,,,12.73%,8.97%,9.26%,9.56%,10.71%,12.07%,13.15%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,,,3.54%,,,,6.06%,,,,8.54%,5.90%,7.03%,5.27%,3.68%,5.32%,4.94%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,,,38.67%,,,,35.47%,,,,34.82%,40.50%,39.14%,40.64%,41.09%,38.08%,37.83%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,582903,,,,537460,,,,589967,85708,91472,120321,135867,191909,413752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
