Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Ratios,Debtor Days,23,,,,22,,,,23,,,,28,14,,16,21,19,14,11,27,11
Ratios,Inventory Days,144,,,,131,,,,144,,,,126,109,,156,111,147,131,135,159,91
Ratios,Days Payable,156,,,,122,,,,171,,,,186,90,,97,73,149,109,100,135,74
Ratios,Cash Conversion Cycle,11,,,,31,,,,-4,,,,-31,33,,75,60,17,36,46,50,27
Ratios,Working Capital Days,-92,,,,-55,,,,-62,,,,-98,-45,,26,7,-90,-72,-38,-37,-48
Ratios,ROCE %,37%,,,,36%,,,,51%,,,,63%,34%,,29%,22%,26%,31%,33%,38%,42%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.16%,2.17%,2.28%,2.28%,2.41%,2.50%,2.93%,3.48%,4.02%,4.36%,4.50%,4.52%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,10.65%,10.54%,10.29%,10.31%,10.25%,10.01%,8.64%,7.90%,7.51%,7.34%,7.30%,7.79%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,12.19%,12.29%,12.43%,12.43%,12.35%,12.48%,13.42%,13.62%,13.48%,13.30%,13.21%,12.69%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,112964,116651,120127,120415,119032,115268,114663,118994,118515,119228,119625,121885,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,75.00%,75.00%,75.00%,75.00%,
Shareholding Pattern (Yearly),FIIs,2.18%,,,,2.28%,,,,3.48%,,,,4.52%,,,,1.82%,1.62%,1.45%,0.30%,1.59%,
Shareholding Pattern (Yearly),DIIs,10.73%,,,,10.31%,,,,7.90%,,,,7.79%,,,,10.26%,10.81%,11.08%,11.37%,10.85%,
Shareholding Pattern (Yearly),Public,12.09%,,,,12.43%,,,,13.62%,,,,12.69%,,,,12.92%,12.57%,12.47%,13.33%,12.56%,
Shareholding Pattern (Yearly),No. of Shareholders,110141,,,,120415,,,,118994,,,,121885,,,,100371,94175,94338,108388,119952,
,,,,,,,,,,,,,,,,,,,,,,,
