Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Profit & Loss,Tax %,-21%,,,,61%,,,,21%,,,,33%,33%,34%,6392%,57%,-1%,19%,-74%,-29%,
Profit & Loss,Net Profit,-254,,,,10,,,,271,,,,258,69,112,-59,86,6131,89,-18,-295,
Profit & Loss,EPS in Rs,-5.18,,,,0.14,,,,5.50,,,,5.40,2.51,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,
Profit & Loss,Dividend Payout %,0%,,,,291%,,,,11%,,,,8%,0%,15%,-18%,32%,0%,16%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,44,,,,47,,,,47,,,,47,25,,37,37,37,37,38,38,27
Balance Sheet,Reserves,1651,,,,1666,,,,2010,,,,2213,663,,1211,1950,8634,8856,1627,1891,1302
Balance Sheet,Borrowings,598,,,,539,,,,418,,,,465,182,,1042,1404,425,361,762,612,380
Balance Sheet,Other Liabilities,2321,,,,3404,,,,3889,,,,4391,653,,2609,3575,3000,3753,3066,2194,1417
Balance Sheet,Total Liabilities,4615,,,,5657,,,,6364,,,,7116,1523,,4899,6965,12096,13008,5492,4736,3126
Balance Sheet,Fixed Assets,2580,,,,2576,,,,2770,,,,2896,475,,1903,2843,1723,2403,2707,2628,1200
Balance Sheet,CWIP,14,,,,26,,,,60,,,,6,5,,53,56,13,7,12,6,97
Balance Sheet,Investments,129,,,,106,,,,134,,,,134,208,,134,219,7398,7417,100,130,340
Balance Sheet,Other Assets,1892,,,,2948,,,,3400,,,,4079,835,,2810,3847,2962,3180,2673,1971,1489
Balance Sheet,Total Assets,4615,,,,5657,,,,6364,,,,7116,1523,,4899,6965,12096,13008,5492,4736,3126
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-139,,,,649,,,,829,,,,717,219,,383,273,-244,253,120,-581,131
Cash Flows,Cash from Investing Activity,-123,,,,-179,,,,-437,,,,-329,-366,,-165,-253,-458,-263,-184,351,-607
Cash Flows,Cash from Financing Activity,-85,,,,-230,,,,-291,,,,-183,88,,548,161,477,-167,-170,335,565
Cash Flows,Net Cash Flow,-347,,,,239,,,,101,,,,205,-59,,766,181,-225,-178,-234,105,89
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,45,,,,41,,,,32,,,,28,94,,50,42,28,46,25,59,73
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,45,,,,41,,,,32,,,,28,94,,50,42,28,46,25,59,73
Ratios,Working Capital Days,-164,,,,-80,,,,-81,,,,-50,-9,,-39,-29,-36,-63,-62,-368,16
Ratios,ROCE %,-11%,,,,5%,,,,19%,,,,19%,18%,,9%,10%,6%,2%,1%,-14%,17%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.34%,72.34%,72.34%,72.34%,72.34%,72.34%,63.83%,63.83%,63.83%,63.83%,63.83%,63.83%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.36%,0.45%,0.48%,0.51%,0.47%,0.57%,1.83%,2.29%,3.16%,3.58%,4.38%,4.52%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,9.11%,9.21%,9.17%,9.20%,9.02%,8.14%,9.26%,8.64%,9.10%,9.84%,9.48%,8.10%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.08%,0.07%,0.08%,0.09%,0.10%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,16.79%,16.62%,16.63%,16.63%,16.85%,17.74%,23.88%,24.07%,22.76%,21.64%,21.21%,22.44%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,1.40%,1.38%,1.38%,1.33%,1.33%,1.21%,1.11%,1.08%,1.06%,1.03%,1.00%,1.00%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,88779,84699,83456,79766,77943,77928,82595,93080,95491,98842,104120,117253,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.58%,,,,72.34%,,,,63.83%,,,,63.83%,,,,67.66%,67.03%,66.94%,65.60%,65.60%,
Shareholding Pattern (Yearly),FIIs,0.41%,,,,0.51%,,,,2.29%,,,,4.52%,,,,7.60%,6.42%,3.80%,2.51%,0.94%,
Shareholding Pattern (Yearly),DIIs,9.88%,,,,9.20%,,,,8.64%,,,,8.10%,,,,13.05%,14.51%,16.71%,16.86%,12.98%,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.08%,,,,0.10%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,17.64%,,,,16.63%,,,,24.07%,,,,22.44%,,,,11.69%,12.04%,12.55%,13.08%,18.59%,
Shareholding Pattern (Yearly),Others,1.50%,,,,1.33%,,,,1.08%,,,,1.00%,,,,0.00%,0.00%,0.00%,1.94%,1.89%,
Shareholding Pattern (Yearly),No. of Shareholders,90995,,,,79766,,,,93080,,,,117253,,,,46333,46558,62833,57816,75575,
,,,,,,,,,,,,,,,,,,,,,,,
