Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Dividend Payout %,,,,,46%,,,,0%,0%,0%,0%,0%,0%,0%,19%,15%,0%,0%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,17,,,,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,63,,,,78,91,86,104,115,115,120,121,129,139,145,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,72,,,,136,134,121,99,110,105,115,117,139,135,143,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,44,,,,67,68,84,60,87,96,100,114,121,100,121,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,196,,,,298,311,308,280,329,332,352,369,406,391,426,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,52,,,,88,103,101,94,102,103,110,99,97,98,93,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,1,,,,9,2,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,142,,,,202,206,207,186,226,229,241,270,308,291,332,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,196,,,,298,311,308,280,329,332,352,369,406,391,426,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,27,,,,45,14,30,16,8,21,30,12,35,39,21,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-15,,,,-49,-13,-5,-3,-16,-9,-18,-8,-17,-16,-8,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-12,,,,6,-1,-25,-14,7,-20,-10,-11,-19,-22,-12,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,-0,,,,2,-0,0,-1,-2,-8,2,-8,-1,0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,88,,,,120,107,107,85,73,73,80,87,80,77,88,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,232,,,,313,255,232,225,248,219,236,162,191,243,249,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,54,,,,158,126,165,98,165,144,150,118,121,127,142,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,266,,,,275,235,175,211,155,148,166,131,150,193,195,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,191,,,,221,197,175,173,116,103,118,102,112,132,134,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,12%,7%,5%,7%,7%,9%,8%,12%,12%,10%,9%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,59.38%,59.39%,58.50%,58.50%,58.50%,58.50%,58.50%,58.50%,58.50%,58.36%,58.32%,58.32%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,0.00%,0.10%,0.48%,0.31%,0.00%,0.15%,0.00%,0.67%,0.64%,0.56%,0.68%,0.73%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,,,,,,,,,0.62%,0.00%,0.01%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,39.99%,40.52%,41.01%,41.16%,41.50%,41.35%,41.50%,40.83%,40.86%,41.08%,41.01%,40.96%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,29880,25373,26175,26048,27575,28828,27829,25183,23290,21328,20693,20949,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,,61.74%,,,,58.50%,,,,58.50%,,,,58.32%,61.37%,59.30%,59.30%,59.30%,59.38%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,,,,,0.00%,,,,0.31%,,,,0.67%,,,,0.73%,0.00%,0.00%,0.00%,0.00%,0.14%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,,,,,0.26%,,,,0.00%,,,,0.00%,,,,0.00%,1.20%,0.87%,0.91%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,,,,,,,0.00%,,,,0.02%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,,38.00%,,,,41.16%,,,,40.83%,,,,40.96%,37.43%,39.83%,39.79%,40.70%,39.85%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,,19082,,,,26048,,,,25183,,,,20949,18022,22107,24970,28976,30368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
