Section,,Dec 2018,Mar 2019,Jun 2022,Sep 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2018,Mar 2022,Dec 2022,Mar 2017,Mar 2020,Mar 2021
Profit & Loss,Depreciation,,7,,,8,,,,9,,,,11,3,6,,,,,
Profit & Loss,Profit before tax,,1,,,29,,,,31,,,,18,12,1,,,,,
Profit & Loss,Tax %,,-48%,,,30%,,,,30%,,,,28%,34%,62%,,,,,
Profit & Loss,Net Profit,,1,,,20,,,,22,,,,13,8,0,,,,,
Profit & Loss,EPS in Rs,,0.73,,,10.96,,,,11.72,,,,7.24,4.78,0.19,,,,,
Profit & Loss,Dividend Payout %,,0%,,,0%,,,,13%,,,,21%,10%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,19,,,18,,,,18,,,,18,6,19,,,,,
Balance Sheet,Reserves,,68,,,85,,,,104,,,,115,30,66,,,,,
Balance Sheet,Borrowings,,99,,,22,,,,34,,,,64,68,112,,,,,
Balance Sheet,Other Liabilities,,12,,,20,,,,29,,,,25,31,16,,,,,
Balance Sheet,Total Liabilities,,198,,,146,,,,186,,,,222,135,213,,,,,
Balance Sheet,Fixed Assets,,57,,,60,,,,85,,,,89,45,61,,,,,
Balance Sheet,CWIP,,0,,,0,,,,0,,,,0,0,0,,,,,
Balance Sheet,Investments,,0,,,0,,,,14,,,,15,0,0,,,,,
Balance Sheet,Other Assets,,141,,,86,,,,87,,,,118,90,153,,,,,
Balance Sheet,Total Assets,,198,,,146,,,,186,,,,222,135,213,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,27,,,45,,,,41,,,,-9,-18,14,,,,,
Cash Flows,Cash from Investing Activity,,-2,,,-19,,,,-47,,,,-14,-17,-1,,,,,
Cash Flows,Cash from Financing Activity,,-24,,,-26,,,,6,,,,23,38,-14,,,,,
Cash Flows,Net Cash Flow,,1,,,-0,,,,-0,,,,-0,3,-1,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,61,,,33,,,,38,,,,51,32,74,,,,,
Ratios,Inventory Days,,231,,,38,,,,39,,,,133,117,220,,,,,
Ratios,Days Payable,,15,,,7,,,,22,,,,31,39,20,,,,,
Ratios,Cash Conversion Cycle,,277,,,64,,,,55,,,,153,110,273,,,,,
Ratios,Working Capital Days,,252,,,65,,,,48,,,,131,96,238,,,,,
Ratios,ROCE %,,6%,,,,,,,24%,,,,13%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.70%,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,74.70%,75.32%,,,
Shareholding Pattern (Quarterly),Government,,,0.35%,,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,0.38%,,,0.32%,0.39%,,,
Shareholding Pattern (Quarterly),Public,,,24.95%,,24.62%,24.62%,24.62%,24.62%,24.62%,24.63%,24.61%,24.61%,24.62%,,,24.98%,24.30%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,3101,,2776,2748,2494,2733,3278,3141,3192,2991,2880,,,3366,2960,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,74.70%,,,75.00%,,,,75.00%,,,,75.00%,,74.70%,74.70%,,74.70%,74.70%,74.70%
Shareholding Pattern (Yearly),Government,,0.27%,,,0.38%,,,,0.38%,,,,0.38%,,0.00%,0.32%,,0.00%,0.28%,0.35%
Shareholding Pattern (Yearly),Public,,25.03%,,,24.62%,,,,24.62%,,,,24.62%,,25.30%,24.98%,,25.30%,25.02%,24.95%
Shareholding Pattern (Yearly),No. of Shareholders,,1609,,,2776,,,,3278,,,,2880,,1712,3366,,1823,1590,1541
,,,,,,,,,,,,,,,,,,,,,
