Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Balance Sheet,Total Liabilities,526,,,,524,,,,531,,,,560,739,773,848,715,775,784,667,514,
Balance Sheet,Fixed Assets,145,,,,146,,,,141,,,,170,479,475,464,276,246,230,223,173,
Balance Sheet,CWIP,9,,,,11,,,,7,,,,5,20,9,7,7,21,9,20,18,
Balance Sheet,Investments,48,,,,29,,,,17,,,,23,11,13,36,78,138,152,105,65,
Balance Sheet,Other Assets,324,,,,338,,,,366,,,,362,229,276,341,355,370,393,319,257,
Balance Sheet,Total Assets,526,,,,524,,,,531,,,,560,739,773,848,715,775,784,667,514,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-26,,,,6,,,,77,,,,50,121,114,125,159,95,98,120,-16,
Cash Flows,Cash from Investing Activity,-44,,,,15,,,,-22,,,,-62,-130,-59,-83,-128,-108,-50,41,7,
Cash Flows,Cash from Financing Activity,72,,,,-22,,,,-42,,,,-0,23,-60,-30,-32,7,-60,-170,8,
Cash Flows,Net Cash Flow,3,,,,-1,,,,13,,,,-12,14,-5,13,-1,-6,-12,-9,-1,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,78,,,,61,,,,86,,,,129,78,80,97,90,113,120,95,166,
Ratios,Inventory Days,64,,,,65,,,,64,,,,56,73,,,,59,48,59,95,
Ratios,Days Payable,416,,,,305,,,,358,,,,344,444,,,,508,415,341,504,
Ratios,Cash Conversion Cycle,-274,,,,-179,,,,-208,,,,-159,-293,80,97,90,-336,-248,-186,-242,
Ratios,Working Capital Days,-40,,,,-1,,,,18,,,,58,-50,-33,-14,-14,-15,32,15,-17,
Ratios,ROCE %,-26%,,,,-1%,,,,10%,,,,7%,14%,15%,18%,19%,20%,19%,11%,-34%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,22.77%,22.77%,22.76%,22.70%,22.61%,22.58%,22.48%,22.47%,22.46%,22.46%,22.38%,22.33%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.54%,1.35%,1.31%,1.07%,0.75%,0.78%,0.86%,0.72%,0.74%,0.67%,0.73%,0.85%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,24.70%,24.69%,24.68%,24.62%,24.52%,24.48%,24.38%,24.36%,24.35%,24.35%,24.26%,24.22%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,50.99%,51.18%,51.24%,51.60%,52.10%,52.15%,52.28%,52.46%,52.46%,52.54%,52.63%,52.59%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,51477,45351,44931,44666,43784,42400,40849,49244,49872,50699,49880,49007,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,22.79%,,,,22.70%,,,,22.47%,,,,22.33%,,,,28.13%,30.04%,30.09%,30.53%,30.58%,27.71%
Shareholding Pattern (Yearly),FIIs,1.16%,,,,1.07%,,,,0.72%,,,,0.85%,,,,22.28%,22.09%,22.31%,20.82%,20.82%,0.00%
Shareholding Pattern (Yearly),DIIs,24.71%,,,,24.62%,,,,24.36%,,,,24.22%,,,,25.05%,21.97%,20.20%,12.02%,0.00%,55.42%
Shareholding Pattern (Yearly),Public,51.34%,,,,51.60%,,,,52.46%,,,,52.59%,,,,24.54%,25.91%,27.40%,36.63%,48.60%,16.86%
Shareholding Pattern (Yearly),No. of Shareholders,53296,,,,44666,,,,49244,,,,49007,,,,28001,27349,25851,31565,41564,26230
,,,,,,,,,,,,,,,,,,,,,,,
