Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Profit & Loss,Expenses,,115,,,,1,,,,1,,,,1,1,1,2,1,1,1,1,2,13,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,-99,,,,21,,,,209,,,,15,13,14,23,11,8,52,25,6,13,,,,,,,,,,,,,
Profit & Loss,OPM %,,-616%,,,,97%,,,,100%,,,,93%,94%,94%,93%,90%,88%,98%,96%,80%,49%,,,,,,,,,,,,,
Profit & Loss,Other Income,,-64,,,,107,,,,242,,,,0,-0,-0,-1,-12,-2,0,0,-47,443,,,,,,,,,,,,,
Profit & Loss,Interest,,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Profit & Loss,Depreciation,,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,-164,,,,128,,,,451,,,,15,13,14,21,-1,6,52,25,-41,456,,,,,,,,,,,,,
Profit & Loss,Tax %,,2%,,,,4%,,,,2%,,,,14%,-7%,11%,10%,2412%,9%,5%,33%,5%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,-167,,,,123,,,,443,,,,77,172,50,30,1,53,116,71,-1,450,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,-50.19,,,,37.81,,,,131.38,,,,23.82,53.79,15.45,9.23,0.85,16.46,35.88,21.40,0.48,132.99,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,2%,1%,3%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,32,,,,32,,,,32,,32,,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,
Balance Sheet,Reserves,,1048,,,,1058,,,,1406,,1543,,751,880,962,1033,1036,1090,1308,1363,1365,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,1,,,,1,,,,1,,1,,0,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,45,,,,35,,,,56,,55,,21,16,15,33,12,9,53,59,49,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,1126,,,,1126,,,,1494,,1631,,804,928,1009,1099,1081,1132,1394,1455,1447,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,1,,,,1,,,,1,,1,,27,23,23,38,55,23,138,137,135,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,0,,0,1,0,12,0,0,0,0,0,,,,,,,,,,,,,,
Balance Sheet,Investments,,1032,,,,1032,,,,1181,,1391,,733,835,863,851,967,1066,1142,1212,1257,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,93,,,,93,,,,311,,239,,44,69,123,198,59,43,114,106,54,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,1126,,,,1126,,,,1494,,1631,,804,928,1009,1099,1081,1132,1394,1455,1447,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-5,,,,36,,,,-201,,,,2,-22,-9,-12,49,-3,-65,2,48,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,4,,,,14,,,,151,,,,-84,49,8,-51,-84,1,63,-3,-47,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-0,,,,-0,,,,-0,,,,21,-25,-3,72,28,-0,3,-0,0,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-1,,,,50,,,,-50,,,,-61,2,-5,8,-7,-2,1,-1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0,,,,0,,,,367,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,0,,,,0,,,,367,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Ratios,Working Capital Days,,95,,,,148,,,,380,,,,210,184,71,228,52,168,163,571,1009,,,,,,,,,,,,,,
Ratios,ROCE %,,-8%,,,,13%,,,,35%,,,,2%,2%,1%,2%,1%,0%,4%,2%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,,71.53%,72.16%,73.97%,74.41%,74.41%,74.89%,74.89%,74.89%,74.89%,74.89%,74.89%,74.89%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,,0.00%,3.99%,4.08%,4.29%,3.58%,3.60%,2.53%,2.96%,3.37%,3.60%,4.05%,4.29%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,,4.00%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,,24.46%,23.84%,21.93%,21.28%,21.99%,21.49%,22.56%,22.13%,21.72%,21.50%,21.04%,20.81%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,,14125,13768,13510,13287,14220,14371,18597,19285,20243,20161,19746,19502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,71.54%,,,,71.54%,,,,71.53%,,,,,,,,,,,71.54%,71.54%,,,,,74.41%,,,,74.89%,,,,74.89%,71.53%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,,,,0.00%,0.00%,,,,,4.29%,,,,2.96%,,,,4.29%,0.00%
Shareholding Pattern (Yearly),DIIs,,10.23%,,,,10.23%,,,,10.23%,,,,,,,,,,,9.23%,9.63%,,,,,0.02%,,,,0.02%,,,,0.02%,3.95%
Shareholding Pattern (Yearly),Public,,18.24%,,,,18.23%,,,,18.23%,,,,,,,,,,,19.24%,18.83%,,,,,21.28%,,,,22.13%,,,,20.81%,24.52%
Shareholding Pattern (Yearly),No. of Shareholders,,16294,,,,13761,,,,13416,,,,,,,,,,,22130,21248,,,,,13287,,,,19285,,,,19502,13520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
