Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM,Mar 2014
Balance Sheet,Investments,,,,0.00,,,,0.00,,,,0.00,,,6.43,6.79,6.67,6.70,7.12,7.75,7.52,0.00,,8.11
Balance Sheet,Other Assets,,,,34.13,,,,114.79,,,,265.27,,,441.70,341.25,236.14,101.88,87.05,76.42,11.10,23.39,,405.18
Balance Sheet,Total Assets,,,,87.40,,,,140.76,,,,313.99,,,592.87,485.54,342.00,200.21,178.14,160.61,64.95,75.08,,575.51
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-4.61,,,,-12.87,,,,-48.67,,,-31.69,-22.04,-21.79,32.90,0.42,0.66,-146.47,-57.58,,-0.62
Cash Flows,Cash from Investing Activity,,,,-4.97,,,,18.65,,,,-67.19,,,10.85,0.00,-0.72,-0.06,-0.34,-0.70,20.47,-8.61,,32.07
Cash Flows,Cash from Financing Activity,,,,9.81,,,,-5.23,,,,121.61,,,20.85,0.00,21.63,-32.95,-0.07,0.03,126.05,66.23,,-31.63
Cash Flows,Net Cash Flow,,,,0.23,,,,0.56,,,,5.75,,,0.01,-22.04,-0.88,-0.12,0.00,-0.01,0.05,0.04,,-0.18
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,44.93,,,,169.36,,,,323.98,,,261.92,166.60,57.01,77.66,1466.03,1866.21,1326.06,10.96,,358.56
Ratios,Inventory Days,,,,382.73,,,,99.92,,,,99.96,,,546.46,183.78,240.70,133.90,7084.12,30641.44,971.62,95.88,,876.88
Ratios,Days Payable,,,,14.09,,,,41.91,,,,243.93,,,190.46,149.00,84.15,149.71,8343.87,37322.80,817.39,6.21,,332.77
Ratios,Cash Conversion Cycle,,,,413.57,,,,227.36,,,,180.01,,,617.92,201.39,213.56,61.85,206.29,-4815.15,1480.28,100.63,,902.67
Ratios,Working Capital Days,,,,390.17,,,,310.22,,,,433.68,,,527.69,183.21,-25.07,-396.53,-14492.16,-40418.84,-7598.03,146.49,,706.15
Ratios,ROCE %,,,,1.41%,,,,11.91%,,,,8.84%,,,1.16%,9.28%,-1.17%,-8.50%,-101.67%,-242.38%,-23.85%,9.28%,,0.12%
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.63%,74.63%,74.63%,74.63%,74.63%,74.63%,74.63%,74.59%,67.51%,66.46%,66.46%,66.48%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.38%,4.77%,4.15%,3.80%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,25.37%,25.37%,25.36%,25.37%,25.37%,25.38%,25.37%,25.41%,24.11%,28.76%,29.38%,29.72%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,61206,62249,61428,59005,57994,56490,67404,87335,106932,170707,180238,185677,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,74.63%,,,,74.59%,,,,66.48%,,,,,16.00%,16.00%,7.78%,7.61%,7.61%,74.63%,,
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.00%,,,,3.80%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.15%,0.18%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),Public,,,,25.37%,,,,25.41%,,,,29.72%,,,,,83.85%,83.82%,92.22%,92.39%,92.39%,25.37%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,59005,,,,87335,,,,185677,,,,,50786,51997,52319,50457,49977,57941,,
,,,,,,,,,,,,,,,,,,,,,,,,,
