Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Investments,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,25,27,30,34,42,56,62,65,100,116,118,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,34,120,221,255,268,379,386,392,424,443,1036,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,8,30,10,11,19,32,36,47,85,79,66,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-6,-82,-103,-10,-3,-47,-2,-11,-14,-10,-18,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,0,51,96,-3,-13,3,-36,-42,-62,-62,-67,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,2,-0,3,-2,2,-11,-2,-6,8,8,-19,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,47,28,28,26,37,33,35,35,44,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,38,33,26,26,27,21,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,127,101,148,259,210,218,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,47,28,28,-63,-32,-88,-198,-148,-152,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,-953,-214,-127,-89,-100,-106,-92,-79,-41,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,22%,-8%,7%,14%,20%,19%,17%,19%,23%,14%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,0.09%,0.06%,0.00%,0.00%,0.00%,0.04%,0.08%,0.00%,0.03%,0.10%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,7.37%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,21.82%,21.84%,21.89%,21.91%,21.91%,21.87%,21.83%,21.90%,21.87%,21.80%,21.90%,21.90%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,48857,47220,45593,45380,43139,43291,43065,48098,47504,48935,50378,50838,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,69.82%,,,,69.82%,,,,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%,69.82%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.09%,0.11%,0.10%,0.10%,0.00%,0.09%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,0.91%,,,,0.91%,,,,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%,0.91%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,,,7.37%,,,,7.37%,,,,7.37%,2.27%,8.09%,8.13%,7.37%,7.37%,7.37%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,21.91%,,,,21.90%,,,,21.90%,26.91%,21.07%,21.04%,21.80%,21.90%,21.81%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,45380,,,,48098,,,,50838,7444,10636,11197,10485,13223,47817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
