Section,,Sep 2019,Dec 2019,Jun 2020,Sep 2020,Dec 2020,Jun 2021,Dec 2021,Jun 2022,Jun 2023,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Sep 2024,Mar 2017,Mar 2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,89779.67,20.89,16.74,,,212048.02,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,83.42,42.72,,,1150.54,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,0.00,0.00,,,5157.61,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,89779.67,104.31,59.46,,,208040.96,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,78629.95,69.83,42.69,,,191404.30,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,-2.08%,,,-1.65%,,21.06%,,,,-2.49%,-2.03%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,16.73%,15.33%,15.33%,15.33%,12.42%,12.42%,,,,,,,15.33%,15.33%,15.33%,15.33%,15.33%,15.33%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,83.27%,84.65%,84.65%,84.67%,87.58%,87.58%,,,,,,,84.67%,84.66%,84.66%,84.67%,84.68%,84.66%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,142767,141190,137141,136673,138977,143510,,,,,,,142363,144311,144804,140671,137711,135677,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,15.33%,,,12.42%,,,64.05%,54.10%,16.73%,16.73%,15.33%,,,,,,71.68%,65.36%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,0.00%,,,0.00%,,,0.15%,0.00%,0.00%,0.00%,0.00%,,,,,,0.00%,0.11%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,0.00%,,,0.00%,,,0.09%,0.03%,0.00%,0.00%,0.00%,,,,,,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,84.65%,,,87.58%,,,35.71%,45.87%,83.27%,83.27%,84.67%,,,,,,28.32%,34.53%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,137141,,,143510,,,78130,77708,95800,139805,142363,,,,,,11087,71895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
