Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Borrowings,,,,,390,41,29,35,36,35,35,7,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,370,97,128,134,138,217,245,78,146,157,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,657,177,200,210,213,294,324,130,188,172,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,499,41,40,39,37,27,23,21,19,8,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,19,18,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,16,4,3,3,3,1,1,1,1,5,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,124,114,158,168,171,266,299,108,168,158,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,657,177,200,210,213,294,324,130,188,172,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,24,-179,7,-22,12,-2,3,29,8,-4,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-31,157,24,-2,-3,6,1,3,-0,2,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,16,10,-16,3,-1,-2,-2,-38,-9,-0,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,9,-12,16,-21,7,2,2,-6,-1,-3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,80,68,158,208,103,43,38,11,10,36,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,50,28,31,71,71,71,48,36,118,96,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,1084,114,174,177,95,81,87,36,113,135,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,-954,-19,16,102,79,33,-0,11,15,-4,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,-449,4,6,55,22,2,7,4,7,-9,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,-6%,10%,2%,0%,18%,16%,7%,-4%,-23%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,66.16%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,66.15%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,33.84%,33.84%,33.84%,33.84%,33.84%,33.84%,33.85%,33.84%,33.83%,33.85%,33.83%,33.85%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,11156,11257,11271,11374,11347,11296,11268,11310,11533,11668,11894,11919,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,,,,66.15%,,,,66.15%,,,,66.15%,66.22%,66.22%,66.16%,66.16%,66.16%,66.16%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,,,,33.84%,,,,33.84%,,,,33.85%,33.77%,33.77%,33.84%,33.84%,33.84%,33.84%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,,,,11374,,,,11310,,,,11919,12508,12317,11879,11585,11043,11199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
