Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Ratios,Working Capital Days,45,,,,25,,,,32,,,,33,50,,50,44,58,72,61,49,45
Ratios,ROCE %,10%,,,,15%,,,,17%,,,,19%,13%,,16%,20%,21%,19%,6%,6%,16%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.04%,0.21%,0.14%,0.18%,0.49%,0.63%,0.45%,0.44%,0.53%,0.76%,0.47%,0.30%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.87%,1.48%,1.43%,1.43%,1.43%,1.13%,1.13%,0.61%,0.00%,0.13%,0.31%,0.22%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,23.11%,23.32%,23.43%,23.39%,23.09%,23.24%,23.42%,23.94%,24.47%,24.13%,24.23%,24.49%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,30203,28203,26430,25800,31157,32038,35212,35142,32331,31065,31482,30677,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.98%,,,,74.98%,,,,74.98%,,,,74.98%,,,,74.98%,74.98%,74.98%,96.82%,94.91%,
Shareholding Pattern (Yearly),FIIs,0.02%,,,,0.18%,,,,0.44%,,,,0.30%,,,,0.30%,0.33%,0.29%,0.02%,0.01%,
Shareholding Pattern (Yearly),DIIs,1.92%,,,,1.43%,,,,0.61%,,,,0.22%,,,,13.43%,13.57%,13.49%,0.01%,0.01%,
Shareholding Pattern (Yearly),Public,23.07%,,,,23.39%,,,,23.94%,,,,24.49%,,,,11.29%,11.12%,11.24%,3.15%,5.07%,
Shareholding Pattern (Yearly),No. of Shareholders,32162,,,,25800,,,,35142,,,,30677,,,,17501,17812,16765,14346,18534,
,,,,,,,,,,,,,,,,,,,,,,,
