Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Profit & Loss,Depreciation,0.38,,,,0.82,,,,1.71,,,,2.35,4.77,4.77,4.60,0.40,0.38,0.37,0.33,0.33,
Profit & Loss,Profit before tax,0.86,,,,1.63,,,,-1.65,,,,12.98,3.16,1.56,-4.98,-1.38,0.17,0.14,0.07,-0.11,
Profit & Loss,Tax %,41.86%,,,,72.39%,,,,32.73%,,,,23.73%,37.97%,275.00%,-76.10%,-92.03%,-788.24%,728.57%,285.71%,427.27%,
Profit & Loss,Net Profit,0.51,,,,0.46,,,,-2.18,,,,9.90,1.96,-2.73,-1.20,-0.11,1.52,-0.88,-0.13,-0.57,
Profit & Loss,EPS in Rs,0.15,,,,0.13,,,,-0.63,,,,2.86,1.04,-1.45,-0.64,-0.06,0.81,-0.47,-0.07,-0.30,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,34.58,,,,34.58,,,,34.58,,,,34.58,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,
Balance Sheet,Reserves,32.93,,,,34.52,,,,32.49,,,,61.27,55.02,49.97,48.77,22.64,24.38,24.73,25.88,25.12,
Balance Sheet,Borrowings,3.73,,,,10.54,,,,15.52,,,,6.82,13.50,12.78,11.76,1.41,2.09,2.14,4.10,0.13,
Balance Sheet,Other Liabilities,16.71,,,,17.68,,,,22.65,,,,24.94,10.95,16.22,11.46,18.20,10.77,11.57,13.92,12.63,
Balance Sheet,Total Liabilities,87.95,,,,97.32,,,,105.24,,,,127.61,98.25,97.75,90.77,61.03,56.02,57.22,62.68,56.66,
Balance Sheet,Fixed Assets,19.26,,,,24.78,,,,27.14,,,,21.84,40.73,34.06,29.65,19.61,19.30,19.60,19.34,19.23,
Balance Sheet,CWIP,0.00,,,,0.83,,,,1.62,,,,0.00,13.27,13.27,13.27,0.00,0.00,0.00,0.00,0.00,
Balance Sheet,Investments,0.00,,,,6.78,,,,6.78,,,,14.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Balance Sheet,Other Assets,68.69,,,,64.93,,,,69.70,,,,90.85,44.25,50.42,47.85,41.42,36.72,37.62,43.34,37.43,
Balance Sheet,Total Assets,87.95,,,,97.32,,,,105.24,,,,127.61,98.25,97.75,90.77,61.03,56.02,57.22,62.68,56.66,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,7.66,,,,-10.61,,,,3.63,,,,-12.29,14.84,9.93,2.28,-3.62,-9.13,-0.37,-2.97,2.43,
Cash Flows,Cash from Investing Activity,-34.96,,,,4.35,,,,-7.85,,,,20.35,-10.86,-0.11,0.03,0.16,-0.03,-0.43,0.05,0.18,
Cash Flows,Cash from Financing Activity,26.17,,,,6.26,,,,3.96,,,,-7.39,-7.46,-3.65,-2.27,1.23,0.35,-0.18,1.47,-4.18,
Cash Flows,Net Cash Flow,-1.14,,,,0.01,,,,-0.27,,,,0.67,-3.48,6.16,0.04,-2.23,-8.81,-0.98,-1.45,-1.56,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,78.07,,,,92.98,,,,86.01,,,,79.49,59.27,56.80,41.36,60.98,80.87,77.39,100.30,74.15,
Ratios,Inventory Days,,,,,,,,,,,,,,,0.00,0.00,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,78.07,,,,92.98,,,,86.01,,,,79.49,59.27,56.80,41.36,60.98,80.87,77.39,100.30,74.15,
Ratios,Working Capital Days,137.32,,,,135.66,,,,105.26,,,,74.85,44.11,19.37,8.78,192.27,231.65,217.24,253.86,195.24,
Ratios,ROCE %,1.75%,,,,2.89%,,,,-0.78%,,,,-1.72%,4.44%,2.14%,-5.87%,-2.13%,1.11%,0.99%,0.85%,0.28%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,53.88%,,,,,,,,,58.86%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.08%,0.08%,0.10%,,,,,,,,,0.06%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,46.11%,46.10%,46.10%,46.11%,46.10%,46.11%,46.11%,46.12%,46.04%,46.04%,46.01%,,,,,,,,,41.07%
Shareholding Pattern (Quarterly),No. of Shareholders,,,17376,17045,16866,16105,14472,13648,13050,13968,16329,16325,17180,,,,,,,,,17029
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.89%,,,,53.88%,,,,53.88%,,,,53.88%,,,,18.82%,18.82%,18.82%,18.82%,18.82%,58.86%
Shareholding Pattern (Yearly),FIIs,0.10%,,,,0.00%,,,,0.00%,,,,0.10%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.01%
Shareholding Pattern (Yearly),Public,46.01%,,,,46.10%,,,,46.11%,,,,46.01%,,,,81.16%,81.16%,81.16%,81.17%,81.17%,41.07%
Shareholding Pattern (Yearly),No. of Shareholders,16989,,,,16866,,,,13050,,,,17180,,,,10055,9925,10214,9755,11051,17029
,,,,,,,,,,,,,,,,,,,,,,,
