Section,,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Profit & Loss,Tax %,,,,0.00%,,,,0.00%,26.36%,34.59%,19.20%,73.97%,-40.33%,-3.16%,-14.26%,33.19%,23.92%,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,6.61,,,,-2.70,7.74,6.75,4.84,1.07,-3.59,-22.67,-8.72,-6.17,-18.86,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,0.21,,,,-0.10,0.36,0.31,0.22,0.05,-0.17,-1.05,-0.40,-0.25,-0.69,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0.00%,,,,0.00%,18.58%,21.30%,29.71%,201.50%,-6.01%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,27.16,,,,47.39,7.19,7.19,7.19,21.56,21.56,21.56,21.56,24.56,27.16,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,48.24,,,,52.37,91.51,96.58,99.75,84.11,124.64,73.46,60.09,56.00,42.45,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,43.42,,,,40.33,69.72,76.08,109.75,127.23,120.12,105.80,93.48,66.80,58.71,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,35.13,,,,18.02,21.59,33.87,33.14,41.26,22.25,14.29,13.04,30.99,23.59,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,153.95,,,,158.11,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,60.05,,,,63.95,84.83,90.30,101.16,95.09,137.88,101.45,91.93,58.55,56.71,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,0.00,,,,0.00,9.96,7.91,0.10,2.96,0.00,0.00,0.06,0.00,0.00,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,0.00,,,,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,93.90,,,,93.93,95.21,115.50,148.56,176.10,150.68,113.65,96.18,119.80,95.20,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,153.95,,,,158.11,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,7.73,,,,,-2.87,10.45,-2.10,-1.14,23.30,25.50,23.13,1.96,4.72,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-4.32,,,,,-11.72,-10.13,-8.40,-3.12,-2.53,18.48,9.37,0.85,4.56,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,-3.39,,,,,17.03,-0.93,11.39,3.75,-21.65,-44.21,-32.25,-4.11,-9.34,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,0.02,,,,,2.44,-0.61,0.89,-0.51,-0.88,-0.22,0.24,-1.30,-0.06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,77.70,,,,64.09,116.47,73.76,138.52,163.81,123.83,108.23,112.44,111.07,68.10,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,213.39,,,,201.26,109.58,145.25,159.95,150.33,200.44,354.00,219.01,144.61,184.68,,,,,,,,,,,,,,
Ratios,Days Payable,,,,44.94,,,,13.42,40.25,27.17,73.97,82.65,45.71,51.22,47.18,65.84,82.75,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,246.15,,,,251.93,185.81,191.84,224.51,231.48,278.55,411.01,284.27,189.85,170.03,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,267.22,,,,221.17,177.36,146.65,191.81,214.70,253.35,305.34,175.02,255.40,220.90,,,,,,,,,,,,,,
Ratios,ROCE %,,,,10.51%,,,,5.15%,,10.51%,9.96%,9.24%,4.86%,-1.69%,4.80%,10.08%,8.85%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,31.05%,31.05%,31.05%,31.07%,31.07%,31.07%,31.09%,31.11%,31.11%,31.11%,31.11%,31.11%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,1.93%,1.93%,1.93%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.05%,0.05%,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,67.02%,67.01%,67.02%,68.89%,68.90%,68.90%,68.88%,68.85%,68.86%,68.85%,68.84%,68.85%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,48028,51872,51811,52779,53453,56323,57827,73477,79643,88476,94170,94834,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,22.26%,,,,22.26%,,,,,,,,28.16%,22.86%,,,,31.07%,,,,31.11%,,,,31.11%,31.05%,31.05%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.00%,,,,,,,,0.34%,2.61%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,3.37%,,,,3.37%,,,,,,,,3.72%,3.54%,,,,0.03%,,,,0.03%,,,,0.05%,1.93%,1.93%
Shareholding Pattern (Yearly),Public,,,,74.37%,,,,74.37%,,,,,,,,67.78%,70.99%,,,,68.89%,,,,68.85%,,,,68.85%,67.02%,67.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,,23942,,,,22735,,,,,,,,15047,23882,,,,52779,,,,73477,,,,94834,23543,46852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
