Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Ratios,Cash Conversion Cycle,,182,,,,179,,,,170,,,,172,185,207,213,215,203,145,150,166,,
Ratios,Working Capital Days,,198,,,,204,,,,171,,,,137,152,173,178,186,190,129,149,190,,
Ratios,ROCE %,,5%,,,,-0%,,,,6%,,,,13%,12%,11%,10%,10%,9%,10%,8%,3%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,55.80%,44.53%,,,,,,,,,,,44.53%
Shareholding Pattern (Quarterly),FIIs,,,1.49%,16.12%,15.99%,16.07%,16.00%,16.02%,16.12%,16.98%,16.60%,3.24%,0.73%,,,,,,,,,,,1.65%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,0.15%
Shareholding Pattern (Quarterly),Government,,,0.00%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,,,,,,0.02%
Shareholding Pattern (Quarterly),Public,,,42.72%,28.06%,28.20%,28.12%,28.18%,28.17%,28.05%,27.20%,27.57%,40.94%,54.72%,,,,,,,,,,,53.64%
Shareholding Pattern (Quarterly),No. of Shareholders,,,63909,62940,64422,62874,61582,60283,60761,59946,58230,66741,69482,,,,,,,,,,,69241
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,55.80%,,,,55.80%,,,,55.80%,,,,,,,,55.80%,55.80%,55.80%,55.80%,55.80%,,44.53%
Shareholding Pattern (Yearly),FIIs,,1.67%,,,,16.07%,,,,16.98%,,,,,,,,3.39%,3.38%,2.90%,2.90%,2.62%,,1.65%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,0.83%,0.36%,0.10%,0.00%,0.00%,,0.15%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.02%,,,,0.02%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,0.02%
Shareholding Pattern (Yearly),Public,,42.53%,,,,28.12%,,,,27.20%,,,,,,,,39.98%,40.46%,41.20%,41.30%,41.58%,,53.64%
Shareholding Pattern (Yearly),No. of Shareholders,,64012,,,,62874,,,,59946,,,,,,,,36791,38709,41876,40012,47394,,69241
,,,,,,,,,,,,,,,,,,,,,,,,,
