Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2024,Sep 2024
Profit & Loss,Operating Profit,,,7.70,,,,4.55,,,,7.31,,12.60,4.25,2.91,1.69,3.28,1.79,7.23,9.19,,
Profit & Loss,OPM %,,,12.78%,,,,20.21%,,,,13.04%,,31.52%,42.54%,44.56%,58.28%,54.58%,17.79%,20.78%,25.46%,,
Profit & Loss,Other Income,,,0.37,,,,0.81,,,,5.19,,4.87,2.18,1.38,1.33,3.35,3.94,0.66,0.60,,
Profit & Loss,Interest,,,1.38,,,,0.79,,,,4.39,,4.26,0.62,0.78,1.09,1.91,2.14,2.92,3.65,,
Profit & Loss,Depreciation,,,1.83,,,,1.86,,,,1.92,,3.17,0.30,0.26,0.32,0.58,1.14,1.19,1.19,,
Profit & Loss,Profit before tax,,,4.86,,,,2.71,,,,6.19,,10.04,5.51,3.25,1.61,4.14,2.45,3.78,4.95,,
Profit & Loss,Tax %,,,24.90%,,,,25.83%,,,,15.83%,,25.30%,8.53%,18.77%,23.60%,21.98%,20.82%,26.98%,24.04%,,
Profit & Loss,Net Profit,,,3.64,,,,2.01,,,,5.21,,7.50,5.04,2.64,1.23,3.23,1.95,2.76,3.76,,
Profit & Loss,EPS in Rs,,,2.09,,,,1.15,,,,2.99,,4.30,23.60,12.36,0.71,1.85,1.12,1.58,2.16,,
Profit & Loss,Dividend Payout %,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,17.45,,,,17.45,,,,17.45,,17.45,2.14,2.14,17.45,17.45,17.45,17.45,17.45,,
Balance Sheet,Reserves,,,101.91,,,,103.98,,,,109.20,,116.79,37.75,38.43,34.54,37.76,39.70,42.46,93.41,,
Balance Sheet,Borrowings,,,54.17,,,,81.49,,,,86.11,,100.95,9.81,17.49,59.09,63.89,69.68,73.59,62.02,,
Balance Sheet,Other Liabilities,,,46.87,,,,83.82,,,,113.79,,175.40,54.00,70.63,74.09,82.19,96.28,74.15,73.12,,
Balance Sheet,Total Liabilities,,,220.40,,,,286.74,,,,326.55,,410.59,103.70,128.69,185.17,201.29,223.11,207.65,246.00,,
Balance Sheet,Fixed Assets,,,74.75,,,,74.50,,,,92.99,,91.87,0.65,0.55,11.64,23.39,25.03,31.81,76.53,,
Balance Sheet,CWIP,,,0.00,,,,0.00,,,,0.00,,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,,
Balance Sheet,Investments,,,8.93,,,,8.75,,,,8.59,,8.64,11.19,11.47,0.44,0.40,0.40,0.52,3.31,,
Balance Sheet,Other Assets,,,136.72,,,,203.49,,,,224.97,,310.08,91.86,116.23,173.09,177.50,197.68,175.32,166.16,,
Balance Sheet,Total Assets,,,220.40,,,,286.74,,,,326.55,,410.59,103.70,128.69,185.17,201.29,223.11,207.65,246.00,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,9.97,,,,-21.61,,,,11.18,,-16.37,1.33,-15.04,-29.41,8.67,4.27,4.92,20.33,,
Cash Flows,Cash from Investing Activity,,,0.13,,,,-5.22,,,,-9.58,,5.35,-0.21,8.80,-22.13,-10.53,-3.56,-5.43,-4.27,,
Cash Flows,Cash from Financing Activity,,,-11.26,,,,26.52,,,,0.23,,10.58,-0.60,6.90,50.69,2.27,-0.59,0.27,-15.08,,
Cash Flows,Net Cash Flow,,,-1.17,,,,-0.31,,,,1.83,,-0.43,0.51,0.67,-0.85,0.41,0.12,-0.23,0.98,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,13.69,,,,58.54,,,,93.01,,64.29,76.00,216.88,962.84,241.71,247.81,39.33,59.15,,
Ratios,Inventory Days,,,764.30,,,,,,,,,,,,,,,,,1917.04,,
Ratios,Days Payable,,,9.54,,,,,,,,,,,,,,,,,24.34,,
Ratios,Cash Conversion Cycle,,,768.45,,,,58.54,,,,93.01,,64.29,76.00,216.88,962.84,241.71,247.81,39.33,1951.85,,
Ratios,Working Capital Days,,,568.01,,,,1905.26,,,,693.53,,1218.28,1953.24,3850.67,12533.34,5813.28,3696.08,1055.67,1008.65,,
Ratios,ROCE %,,,3.60%,,,,1.81%,,,,5.03%,,6.38%,,7.44%,3.09%,5.12%,3.67%,4.86%,5.61%,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,73.88%,73.88%,73.88%,73.88%,73.88%,73.88%,73.88%,73.88%,73.88%,73.88%,,,,,,,,73.88%,73.88%
Shareholding Pattern (Quarterly),Public,,,,26.12%,26.12%,26.12%,26.12%,26.12%,26.12%,26.12%,26.12%,26.12%,26.12%,,,,,,,,26.12%,26.12%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,721,759,836,855,845,955,1179,1387,1146,1287,,,,,,,,1438,1177
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,73.88%,,,,73.88%,,,,73.88%,,73.88%,,,73.45%,73.45%,73.45%,73.45%,73.93%,,
Shareholding Pattern (Yearly),Public,,,26.12%,,,,26.12%,,,,26.12%,,26.12%,,,26.56%,26.56%,26.56%,26.55%,26.07%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,713,,,,855,,,,1387,,1287,,,150,147,134,133,96,,
,,,,,,,,,,,,,,,,,,,,,,,
