Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Sep 2013,Sep 2014,Sep 2015,Mar 20166m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2016,Mar 2025
Ratios,Cash Conversion Cycle,,1,,,,1,,,,1,,,,8,1,2,,10,2,2,0,0,,1,
Ratios,Working Capital Days,,37,,,,12,,,,6,,,,293,83,108,,141,94,44,-39,40,,181,
Ratios,ROCE %,,16%,,,,26%,,,,28%,,,,5%,6%,17%,,11%,16%,18%,15%,11%,,9%,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,56.74%,56.74%,56.74%,56.74%,56.74%,56.74%,56.74%,56.74%,56.74%,56.74%,56.73%,,,,,,,,,,,,56.73%
Shareholding Pattern (Quarterly),FIIs,,,0.39%,0.51%,0.49%,0.43%,0.39%,0.94%,0.78%,0.88%,0.90%,1.11%,1.54%,,,,,,,,,,,,1.69%
Shareholding Pattern (Quarterly),DIIs,,,0.09%,0.09%,0.09%,0.09%,0.09%,0.13%,0.09%,0.09%,0.09%,0.14%,0.09%,,,,,,,,,,,,0.13%
Shareholding Pattern (Quarterly),Public,,,42.77%,42.65%,42.67%,42.74%,42.77%,42.19%,42.39%,42.27%,42.26%,42.00%,41.63%,,,,,,,,,,,,41.45%
Shareholding Pattern (Quarterly),No. of Shareholders,,,58038,56854,56428,56186,55189,44259,46044,54730,57038,50588,51117,,,,,,,,,,,,50640
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,56.74%,,,,56.74%,,,,56.74%,,,,,,,,56.72%,56.73%,56.73%,56.74%,56.74%,,66.39%,56.73%
Shareholding Pattern (Yearly),FIIs,,0.43%,,,,0.43%,,,,0.88%,,,,,,,,0.73%,0.94%,0.50%,0.29%,0.28%,,0.46%,1.69%
Shareholding Pattern (Yearly),DIIs,,0.09%,,,,0.09%,,,,0.09%,,,,,,,,0.75%,0.39%,0.66%,1.07%,0.10%,,0.24%,0.13%
Shareholding Pattern (Yearly),Public,,42.74%,,,,42.74%,,,,42.27%,,,,,,,,41.80%,41.94%,42.12%,41.90%,42.88%,,32.91%,41.45%
Shareholding Pattern (Yearly),No. of Shareholders,,57565,,,,56186,,,,54730,,,,,,,,49134,44745,48141,44091,46868,,43879,50640
,,,,,,,,,,,,,,,,,,,,,,,,,,
