Section,,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,9,19,23,-27,-4,8,8,12,6,14,8,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-13,-15,-16,-10,-17,-55,-54,10,-26,-12,-31,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,4,-4,-8,50,17,99,-8,15,-8,-10,24,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-1,-0,-1,13,-4,52,-54,37,-28,-8,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,55,53,55,59,55,55,52,54,62,63,62,,,,,,,,,,,,,,,
Ratios,Inventory Days,128,156,95,138,119,130,131,119,129,152,178,,,,,,,,,,,,,,,
Ratios,Days Payable,139,138,97,94,86,106,106,95,73,71,80,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,44,71,54,103,89,79,76,78,118,145,161,,,,,,,,,,,,,,,
Ratios,Working Capital Days,34,50,45,84,74,65,62,65,82,102,114,,,,,,,,,,,,,,,
Ratios,ROCE %,,,18%,4%,-7%,-0%,5%,6%,4%,7%,9%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,0.11%,0.18%,0.13%,0.18%,0.54%,0.57%,0.55%,0.52%,0.36%,0.65%,0.26%,0.21%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,24.90%,24.82%,24.88%,24.83%,24.46%,24.24%,24.43%,24.49%,24.66%,24.37%,24.73%,24.80%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,32760,31166,31760,30762,29382,30053,31283,30956,31273,30095,31257,31281,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,74.99%,74.99%,74.99%,,,,74.99%,,,,74.99%,,,,74.99%,74.99%,74.99%,74.99%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.00%,0.07%,0.07%,,,,0.18%,,,,0.52%,,,,0.21%,0.07%,0.09%,0.12%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,0.07%,0.06%,0.08%,,,,0.00%,,,,0.00%,,,,0.00%,0.43%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,,,0.00%,0.54%,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,24.95%,24.35%,24.86%,,,,24.83%,,,,24.49%,,,,24.80%,24.52%,24.92%,24.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,19694,18683,17662,,,,30762,,,,30956,,,,31281,17860,30753,33312
,,,,,,,,,,,,,,,,,,,,,,,,,,,
