Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Tax %,,,23%,,,,26%,,,,25%,,,33%,28%,30%,26%,32%,36%,34%,26%,25%,,,,,,
Profit & Loss,Net Profit,,,1543,,,,1962,,,,2718,,,868,603,1174,2914,1137,901,1099,769,1089,2606,,,,,
Profit & Loss,EPS in Rs,,,43.33,,,,55.07,,,,76.29,,,,16.94,32.98,81.82,31.92,25.31,30.87,21.58,30.57,73.14,,,,,
Profit & Loss,Dividend Payout %,,,23%,,,,18%,,,,16%,,,24%,35%,30%,41%,22%,28%,23%,32%,26%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,71,,,,71,,,,71,,71,68,71,71,71,71,71,71,71,71,,,,,,
Balance Sheet,Reserves,,,11539,,,,13016,,,,15286,,12255,3748,4304,5046,6732,7619,8228,8978,9421,10276,,,,,,
Balance Sheet,Borrowings,,,182,,,,175,,,,279,,135,0,0,25,25,0,0,0,0,4,,,,,,
Balance Sheet,Other Liabilities,,,8317,,,,8384,,,,9663,,9486,6341,5915,5433,5157,5448,6037,6309,6368,7664,,,,,,
Balance Sheet,Total Liabilities,,,20109,,,,21646,,,,25299,,21947,10158,10290,10576,11986,13138,14336,15358,15860,18015,,,,,,
Balance Sheet,Fixed Assets,,,3107,,,,3038,,,,3112,,2646,1169,1356,1394,1227,1365,1381,1219,1196,3264,,,,,,
Balance Sheet,CWIP,,,52,,,,50,,,,103,,58,249,41,32,79,143,62,58,88,35,,,,,,
Balance Sheet,Investments,,,1,,,,1,,,,1,,1,0,8,114,110,0,0,0,0,3,,,,,,
Balance Sheet,Other Assets,,,16949,,,,18556,,,,22082,,19243,8739,8886,9037,10570,11630,12893,14081,14576,14713,,,,,,
Balance Sheet,Total Assets,,,20109,,,,21646,,,,25299,,21947,10158,10290,10576,11986,13138,14336,15358,15860,18015,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,978,,,,1400,,,,1670,,,3,608,574,513,573,100,1273,720,1422,,,,,,
Cash Flows,Cash from Investing Activity,,,-34,,,,-759,,,,-502,,,264,130,646,237,1321,-174,-1135,871,-2389,,,,,,
Cash Flows,Cash from Financing Activity,,,-392,,,,-450,,,,-523,,,-196,-220,-245,-1614,-285,-305,-312,-386,-502,,,,,,
Cash Flows,Net Cash Flow,,,552,,,,191,,,,644,,,70,517,975,-864,1610,-379,-174,1205,-1469,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,86,,,,71,,,,72,,,127,126,105,102,113,105,106,115,102,,,,,,
Ratios,Inventory Days,,,99,,,,95,,,,93,,,34,78,69,69,70,74,73,101,104,,,,,,
Ratios,Days Payable,,,186,,,,152,,,,166,,,118,202,173,150,182,196,215,251,214,,,,,,
Ratios,Cash Conversion Cycle,,,-0,,,,14,,,,-1,,,43,3,1,21,1,-17,-36,-36,-8,,,,,,
Ratios,Working Capital Days,,,17,,,,32,,,,30,,,29,24,20,32,34,49,44,42,32,,,,,,
Ratios,ROCE %,,,16%,,,,21%,,,,24%,,,36%,,19%,16%,15%,18%,19%,11%,14%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,5.42%,6.03%,6.74%,7.01%,7.58%,7.94%,7.89%,8.30%,8.59%,8.69%,8.77%,8.19%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,9.65%,9.52%,8.78%,8.48%,8.01%,7.64%,7.71%,7.42%,7.03%,6.90%,6.78%,7.28%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,9.93%,9.44%,9.48%,9.51%,9.40%,9.44%,9.40%,9.29%,9.39%,9.42%,9.45%,9.51%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,131103,136012,136690,154988,162240,163563,156916,152706,179869,192619,208414,228178,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,,,,,,,,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,5.51%,,,,7.01%,,,,8.30%,,,,8.19%,,,,,,,,,,,5.03%,4.81%,2.29%,4.21%,4.37%
Shareholding Pattern (Yearly),DIIs,9.49%,,,,8.48%,,,,7.42%,,,,7.28%,,,,,,,,,,,9.29%,9.48%,11.35%,10.20%,10.58%
Shareholding Pattern (Yearly),Public,10.00%,,,,9.51%,,,,9.29%,,,,9.51%,,,,,,,,,,,10.68%,10.71%,11.36%,10.59%,10.05%
Shareholding Pattern (Yearly),No. of Shareholders,132305,,,,154988,,,,152706,,,,228178,,,,,,,,,,,117528,111459,119900,116028,114171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
