Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,EPS in Rs,-0.68,-0.52,-0.64,-0.73,-0.69,5.55,-0.74,-0.68,-0.49,-0.04,-0.02,-0.06,-0.22,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,808,,,,560,,,,507,,,,803,852,939,1051,1019,951,925,637,928,,,,,,,,,,,,
Profit & Loss,Expenses,,807,,,,560,,,,493,,,,689,871,837,947,950,889,863,698,868,,,,,,,,,,,,
Profit & Loss,Operating Profit,,2,,,,-0,,,,15,,,,114,-19,102,104,69,62,61,-61,59,,,,,,,,,,,,
Profit & Loss,OPM %,,0%,,,,-0%,,,,3%,,,,14%,-2%,11%,10%,7%,6%,7%,-10%,6%,,,,,,,,,,,,
Profit & Loss,Other Income,,2,,,,177,,,,3,,,,5,22,13,24,-10,52,12,3,3,,,,,,,,,,,,
Profit & Loss,Interest,,60,,,,60,,,,59,,,,57,86,76,88,91,90,77,84,64,,,,,,,,,,,,
Profit & Loss,Depreciation,,18,,,,16,,,,15,,,,39,45,52,48,42,38,30,30,14,,,,,,,,,,,,
Profit & Loss,Profit before tax,,-74,,,,102,,,,-57,,,,23,-127,-13,-8,-74,-15,-33,-172,-16,,,,,,,,,,,,
Profit & Loss,Tax %,,0%,,,,0%,,,,0%,,,,40%,-18%,-48%,-18%,-40%,0%,0%,0%,0%,,,,,,,,,,,,
Profit & Loss,Net Profit,,-74,,,,102,,,,-57,,,,14,-100,-7,-6,-45,-15,-33,-172,-16,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,-2.54,,,,3.50,,,,-1.95,,,,0.77,-4.55,-0.21,-0.25,-1.54,-0.52,-1.15,-5.90,-0.53,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,22,,,,22,,,,22,,,,16,16,18,20,22,22,22,22,22,,,,,,,,,,,,
Balance Sheet,Reserves,,-414,,,,-313,,,,-371,,,,117,19,23,32,6,-40,-86,-258,-386,,,,,,,,,,,,
Balance Sheet,Borrowings,,446,,,,490,,,,523,,,,652,660,654,613,581,534,530,581,529,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,270,,,,113,,,,131,,,,82,86,129,154,149,159,189,168,161,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,324,,,,313,,,,306,,,,868,781,823,819,758,676,655,513,326,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,211,,,,196,,,,183,,,,481,554,517,490,397,368,363,340,170,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,,,30,22,14,8,4,7,7,3,0,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,0,,,,1,1,3,8,0,0,0,0,0,,,,,,,,,,,,
Balance Sheet,Other Assets,,112,,,,117,,,,123,,,,355,205,290,313,357,301,286,170,156,,,,,,,,,,,,
Balance Sheet,Total Assets,,324,,,,313,,,,306,,,,868,781,823,819,758,676,655,513,326,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,134,,,,13,,,,24,,,,-2,214,90,71,85,109,92,51,61,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,114,,,,0,,,,-1,,,,-25,-90,-2,-11,2,-7,-24,-5,-1,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-251,,,,-14,,,,-23,,,,28,-132,-70,-72,-90,-103,-68,-51,-61,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-4,,,,-0,,,,-0,,,,1,-8,18,-12,-4,-1,-0,-5,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,4,,,,4,,,,6,,,,41,27,38,33,26,35,34,16,4,,,,,,,,,,,,
Ratios,Inventory Days,,12,,,,18,,,,19,,,,127,28,45,56,81,49,51,32,23,,,,,,,,,,,,
Ratios,Days Payable,,26,,,,53,,,,74,,,,27,23,49,46,43,44,47,38,54,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-10,,,,-31,,,,-49,,,,141,33,33,43,64,41,38,10,-26,,,,,,,,,,,,
Ratios,Working Capital Days,,-97,,,,-40,,,,-54,,,,101,-13,-2,7,19,8,-6,-75,-25,,,,,,,,,,,,
Ratios,ROCE %,,-7%,,,,-10%,,,,1%,,,,,-7%,8%,10%,8%,12%,9%,-21%,28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,60.16%,60.16%,60.16%,60.16%,60.16%,55.21%,49.14%,49.14%,49.14%,49.14%,30.75%,34.22%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,1.81%,1.83%,1.96%,2.82%,1.52%,1.40%,0.65%,0.38%,0.24%,0.32%,0.64%,0.54%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,38.02%,38.00%,37.87%,37.02%,38.31%,43.40%,50.20%,50.47%,50.62%,50.53%,68.60%,65.24%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,16467,16429,16437,16085,14752,13825,13529,13371,19674,23189,26802,26725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,60.18%,,,,60.18%,,,,60.18%,,,,,,,,,,60.13%,60.13%,60.16%,,,,60.16%,,,,49.14%,,,,34.22%
Shareholding Pattern (Yearly),FIIs,,1.15%,,,,1.15%,,,,1.15%,,,,,,,,,,1.15%,1.15%,1.49%,,,,2.82%,,,,0.38%,,,,0.54%
Shareholding Pattern (Yearly),DIIs,,0.01%,,,,0.01%,,,,0.01%,,,,,,,,,,0.01%,0.20%,0.01%,,,,0.01%,,,,0.01%,,,,0.00%
Shareholding Pattern (Yearly),Public,,38.66%,,,,38.66%,,,,38.66%,,,,,,,,,,38.70%,38.52%,38.34%,,,,37.02%,,,,50.47%,,,,65.24%
Shareholding Pattern (Yearly),No. of Shareholders,,16874,,,,16317,,,,16673,,,,,,,,,,16035,17995,16344,,,,16085,,,,13371,,,,26725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
