Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Total Liabilities,,,472,,,,482,,,,737,32,48,56,61,105,123,102,141,141,,,,,,,
Balance Sheet,Fixed Assets,,,148,,,,162,,,,174,6,11,14,15,23,26,21,23,22,,,,,,,
Balance Sheet,CWIP,,,12,,,,9,,,,75,3,2,1,0,1,2,2,1,3,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
Balance Sheet,Other Assets,,,312,,,,310,,,,489,23,35,41,45,82,95,79,116,116,,,,,,,
Balance Sheet,Total Assets,,,472,,,,482,,,,737,32,48,56,61,105,123,102,141,141,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,78,,,,65,,,,-81,2,-4,9,-4,-20,18,22,-17,9,,,,,,,
Cash Flows,Cash from Investing Activity,,,-109,,,,-53,,,,-68,-4,-5,-4,-0,-9,-7,-4,-2,-2,,,,,,,
Cash Flows,Cash from Financing Activity,,,30,,,,-2,,,,177,3,10,-5,12,21,-7,-13,20,-13,,,,,,,
Cash Flows,Net Cash Flow,,,-1,,,,11,,,,29,1,0,1,8,-8,3,4,1,-6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,25,,,,25,,,,23,56,75,44,30,51,40,28,54,39,,,,,,,
Ratios,Inventory Days,,,45,,,,35,,,,48,43,26,24,24,52,39,45,38,38,,,,,,,
Ratios,Days Payable,,,3,,,,3,,,,4,22,15,8,7,10,13,11,21,16,,,,,,,
Ratios,Cash Conversion Cycle,,,68,,,,57,,,,66,76,85,60,47,94,66,62,71,61,,,,,,,
Ratios,Working Capital Days,,,62,,,,57,,,,72,65,82,56,56,104,70,60,78,66,,,,,,,
Ratios,ROCE %,,,,,,,14%,,,,16%,,21%,29%,-6%,30%,20%,10%,12%,11%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,48.86%,48.86%,48.88%,48.88%,48.88%,48.89%,48.90%,45.14%,43.76%,40.59%,40.61%,,,,,,,,,,39.90%,,,,,,
Shareholding Pattern (Quarterly),FIIs,1.03%,0.12%,0.00%,0.13%,0.01%,0.18%,0.22%,0.02%,0.22%,2.83%,2.10%,,,,,,,,,,1.19%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,5.05%,4.88%,,,,,,,,,,6.16%,,,,,,
Shareholding Pattern (Quarterly),Public,50.13%,51.03%,51.12%,50.98%,51.11%,50.93%,50.89%,54.83%,55.88%,51.54%,52.40%,,,,,,,,,,52.73%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,21370,22837,22072,21560,22579,22109,24060,25817,50180,60269,61578,,,,,,,,,,65089,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,48.88%,,,,48.90%,,,,40.61%,,,,,,,,,,39.90%,51.01%,46.21%,46.38%,46.86%,48.74%,48.74%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.22%,,,,2.10%,,,,,,,,,,1.19%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,0.00%,,,,4.88%,,,,,,,,,,6.16%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,51.12%,,,,50.89%,,,,52.40%,,,,,,,,,,52.73%,48.99%,53.79%,53.27%,53.14%,51.26%,51.26%
Shareholding Pattern (Yearly),No. of Shareholders,,,22072,,,,24060,,,,61578,,,,,,,,,,65089,8401,12957,12726,11735,11668,13059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
