Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017,Mar 2018
Balance Sheet,Reserves,281,,,,352,,,,622,,,,868,51,165,232,,,
Balance Sheet,Borrowings,350,,,,516,,,,731,,,,896,100,165,218,,,
Balance Sheet,Other Liabilities,331,,,,445,,,,549,,,,704,102,188,266,,,
Balance Sheet,Total Liabilities,984,,,,1335,,,,1924,,,,2491,266,539,737,,,
Balance Sheet,Fixed Assets,427,,,,554,,,,908,,,,1012,133,250,308,,,
Balance Sheet,CWIP,87,,,,125,,,,9,,,,119,0,26,53,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,2,0,,,
Balance Sheet,Other Assets,470,,,,656,,,,1007,,,,1359,133,261,375,,,
Balance Sheet,Total Assets,984,,,,1335,,,,1924,,,,2491,266,539,737,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,36,,,,99,,,,87,,,,114,-5,17,72,,,
Cash Flows,Cash from Investing Activity,-139,,,,-220,,,,-381,,,,-289,-40,-145,-90,,,
Cash Flows,Cash from Financing Activity,91,,,,128,,,,298,,,,209,43,153,34,,,
Cash Flows,Net Cash Flow,-12,,,,7,,,,3,,,,34,-2,24,16,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,13,,,,15,,,,23,,,,21,32,18,13,,,
Ratios,Inventory Days,56,,,,68,,,,98,,,,98,54,74,58,,,
Ratios,Days Payable,64,,,,69,,,,85,,,,68,84,94,74,,,
Ratios,Cash Conversion Cycle,5,,,,14,,,,37,,,,51,2,-2,-3,,,
Ratios,Working Capital Days,17,,,,22,,,,43,,,,56,6,11,13,,,
Ratios,ROCE %,16%,,,,18%,,,,15%,,,,14%,,17%,17%,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,64.85%,64.85%,64.85%,64.85%,64.85%,64.85%,63.82%,63.82%,63.82%,62.22%,62.22%,,,,62.22%,,
Shareholding Pattern (Quarterly),FIIs,,,6.04%,6.57%,6.56%,6.59%,6.58%,6.70%,6.70%,3.02%,3.39%,5.45%,5.24%,,,,5.24%,,
Shareholding Pattern (Quarterly),DIIs,,,6.55%,6.55%,6.64%,6.58%,6.03%,5.96%,7.18%,13.43%,13.79%,14.06%,14.56%,,,,14.56%,,
Shareholding Pattern (Quarterly),Public,,,22.56%,22.04%,21.94%,22.00%,22.54%,22.50%,22.30%,19.73%,19.00%,18.27%,17.97%,,,,17.97%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,50576,53711,60489,69988,80587,86147,85364,84136,79846,76794,73822,,,,73822,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.85%,,,,64.85%,,,,63.82%,,,,62.22%,61.87%,62.62%,62.62%,62.22%,60.40%,60.40%
Shareholding Pattern (Yearly),FIIs,6.13%,,,,6.56%,,,,6.70%,,,,5.24%,9.94%,6.62%,6.59%,5.24%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,6.53%,,,,6.64%,,,,7.18%,,,,14.56%,1.95%,7.40%,7.34%,14.56%,0.06%,0.06%
Shareholding Pattern (Yearly),Public,22.50%,,,,21.94%,,,,22.30%,,,,17.97%,26.25%,23.36%,23.44%,17.97%,39.55%,39.55%
Shareholding Pattern (Yearly),No. of Shareholders,37078,,,,60489,,,,85364,,,,73822,7015,8702,25295,73822,6162,6738
,,,,,,,,,,,,,,,,,,,,
