Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,CWIP,,,,3.19,,,,7.60,,,,0.81,0.00,0.00,0.00,0.14,0.82
Balance Sheet,Investments,,,,0.10,,,,0.07,,,,0.07,0.02,0.04,0.10,0.07,0.11
Balance Sheet,Other Assets,,,,32.05,,,,39.58,,,,39.61,16.11,22.46,23.83,26.19,24.62
Balance Sheet,Total Assets,,,,38.36,,,,51.41,,,,51.93,20.42,25.88,26.73,28.68,27.61
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,1.48,,,,14.32,,,,2.68,1.89,4.02,4.40,2.44,0.63
Cash Flows,Cash from Investing Activity,,,,-5.18,,,,-9.51,,,,-5.64,-4.73,-1.57,-1.27,-0.55,-1.24
Cash Flows,Cash from Financing Activity,,,,1.57,,,,2.02,,,,-3.60,6.13,-0.69,-2.13,-0.46,-0.61
Cash Flows,Net Cash Flow,,,,-2.13,,,,6.84,,,,-6.56,3.29,1.75,1.00,1.43,-1.23
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,137.13,,,,88.44,,,,85.94,127.37,59.61,72.31,103.12,86.58
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,137.13,,,,88.44,,,,85.94,127.37,59.61,72.31,103.12,86.58
Ratios,Working Capital Days,,,,136.30,,,,58.03,,,,73.71,113.77,53.94,85.62,96.86,89.74
Ratios,ROCE %,,,,13.95%,,,,12.57%,,,,10.71%,,50.89%,21.66%,9.71%,17.22%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,69.67%,69.67%,69.86%,70.10%,70.80%,70.80%,70.80%,70.80%,70.80%,70.80%,70.80%,70.90%,,,,,
Shareholding Pattern (Quarterly),Public,30.33%,30.33%,30.13%,29.90%,29.20%,29.20%,29.20%,29.20%,29.21%,29.20%,29.20%,29.10%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,309,799,853,927,1154,2302,3529,3540,3380,3247,3300,3305,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,70.10%,,,,70.80%,,,,70.90%,68.27%,68.27%,71.66%,68.26%,69.67%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%
Shareholding Pattern (Yearly),Public,,,,29.90%,,,,29.20%,,,,29.10%,36.54%,31.74%,41.36%,41.24%,30.21%
Shareholding Pattern (Yearly),No. of Shareholders,,,,927,,,,3540,,,,3305,132,124,136,140,194
,,,,,,,,,,,,,,,,,,
