Section,,Mar 2006,Dec 20069m,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Dec 2006,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Financing Activity,-52,,-61,-34,-92,-80,-156,-85,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,9,,-26,-4,8,4,7,25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,61,53,57,48,51,78,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,85,,79,69,54,60,74,108,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,107,,109,73,92,109,109,144,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,42,,32,49,20,-1,16,41,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,44,,43,34,19,-4,4,38,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,25%,34%,56%,48%,36%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,54.37%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,0.62%,0.39%,0.39%,0.34%,0.29%,0.28%,0.31%,0.34%,0.37%,0.42%,0.43%,1.15%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,3.07%,3.07%,2.51%,1.98%,1.96%,0.49%,1.28%,1.92%,3.24%,3.71%,8.53%,10.62%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,41.94%,42.18%,42.73%,43.31%,43.37%,44.85%,44.05%,43.37%,42.03%,41.51%,36.67%,33.87%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,59069,58735,57794,57031,55507,52960,50113,48176,48362,45615,43936,41594,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,54.37%,,,,54.37%,,,,54.37%,51.00%,51.00%,51.00%,51.00%,51.00%,54.37%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,0.34%,,,,0.34%,,,,1.15%,3.77%,0.66%,0.06%,0.23%,0.23%,0.46%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,1.98%,,,,1.92%,,,,10.62%,13.00%,11.49%,8.76%,4.85%,3.86%,3.07%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,43.31%,,,,43.37%,,,,33.87%,32.23%,36.46%,40.18%,43.91%,44.91%,42.10%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,57031,,,,48176,,,,41594,39491,38253,37456,37916,56188,58809
,,,,,,,,,,,,,,,,,,,,,,,,,,,
