Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,791,,,,303,,,,683,,,676,508,562,,
Cash Flows,Cash from Investing Activity,,,-872,,,,-13,,,,26,,,-245,-488,-628,,
Cash Flows,Cash from Financing Activity,,,-23,,,,-258,,,,-697,,,-428,0,146,,
Cash Flows,Net Cash Flow,,,-104,,,,32,,,,12,,,3,21,80,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,22,,,,66,,,,26,,,28,23,25,,
Ratios,Inventory Days,,,219,,,,439,,,,224,,,222,190,201,,
Ratios,Days Payable,,,209,,,,464,,,,411,,,181,140,178,,
Ratios,Cash Conversion Cycle,,,32,,,,41,,,,-160,,,70,72,48,,
Ratios,Working Capital Days,,,22,,,,97,,,,-89,,,39,42,30,,
Ratios,ROCE %,,,11%,,,,-13%,,,,-73%,,,,14%,15%,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,45.78%,45.78%,20.39%,20.39%,20.39%,20.39%,20.39%,20.39%,20.39%,20.39%,20.40%,,,,,20.31%
Shareholding Pattern (Quarterly),FIIs,,,22.75%,22.92%,21.14%,20.36%,19.97%,19.95%,20.06%,20.06%,19.99%,19.92%,19.92%,,,,,19.93%
Shareholding Pattern (Quarterly),DIIs,,,18.79%,18.55%,14.03%,13.99%,13.98%,13.97%,13.93%,13.94%,13.93%,13.93%,11.83%,,,,,7.02%
Shareholding Pattern (Quarterly),Public,,,12.51%,12.58%,44.26%,45.08%,45.48%,45.50%,45.44%,45.43%,45.51%,45.57%,47.68%,,,,,52.54%
Shareholding Pattern (Quarterly),Others,,,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,,,,,0.18%
Shareholding Pattern (Quarterly),No. of Shareholders,,,35683,44317,72820,73157,70802,72401,70474,68789,69124,69806,72256,,,,,75476
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,45.78%,,,,20.39%,,,,20.39%,,,60.45%,60.52%,53.48%,,20.31%
Shareholding Pattern (Yearly),FIIs,,,22.75%,,,,19.97%,,,,19.99%,,,6.55%,5.38%,15.09%,,19.93%
Shareholding Pattern (Yearly),DIIs,,,18.79%,,,,13.98%,,,,13.93%,,,13.61%,19.26%,16.88%,,7.02%
Shareholding Pattern (Yearly),Public,,,12.51%,,,,45.48%,,,,45.51%,,,19.38%,14.84%,14.55%,,52.54%
Shareholding Pattern (Yearly),Others,,,0.18%,,,,0.18%,,,,0.18%,,,0.00%,0.00%,0.00%,,0.18%
Shareholding Pattern (Yearly),No. of Shareholders,,,35683,,,,70802,,,,69124,,,41862,40175,36902,,75476
,,,,,,,,,,,,,,,,,,,
