Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Shareholding Pattern (Quarterly),No. of Shareholders,,65173,68130,73157,75370,86631,102994,120506,138052,160686,178356,177792,185787,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.85%,,,,63.85%,,,,63.85%,,,,63.85%,,,,63.85%,63.85%,63.85%,63.85%,63.85%,64.85%
Shareholding Pattern (Yearly),FIIs,10.64%,,,,10.36%,,,,10.91%,,,,9.66%,,,,7.79%,14.76%,15.71%,9.58%,10.96%,0.00%
Shareholding Pattern (Yearly),DIIs,18.34%,,,,14.14%,,,,9.51%,,,,8.52%,,,,22.28%,14.01%,13.16%,19.44%,19.59%,26.22%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.01%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,6.47%,,,,11.01%,,,,15.12%,,,,17.34%,,,,6.08%,7.38%,6.52%,6.41%,4.89%,8.93%
Shareholding Pattern (Yearly),Others,0.70%,,,,0.63%,,,,0.62%,,,,0.62%,,,,0.00%,0.00%,0.76%,0.72%,0.71%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,52747,,,,75370,,,,138052,,,,185787,,,,29560,34123,31158,34671,36360,143311
,,,,,,,,,,,,,,,,,,,,,,,
