Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash Flows,Cash from Financing Activity,384,,,,114,,,,-14,,,,-133,10,140,-9,4,-2,-18,-75,3,,,,,
Cash Flows,Net Cash Flow,54,,,,-28,,,,72,,,,-77,2,1,3,-0,-7,14,-14,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,64,,,,50,,,,51,,,,48,47,66,44,45,49,48,53,56,,,,,
Ratios,Inventory Days,110,,,,88,,,,70,,,,74,59,86,77,69,69,74,96,98,,,,,
Ratios,Days Payable,34,,,,17,,,,31,,,,22,46,67,14,11,11,11,17,27,,,,,
Ratios,Cash Conversion Cycle,139,,,,121,,,,90,,,,101,60,85,107,103,106,111,132,126,,,,,
Ratios,Working Capital Days,119,,,,105,,,,90,,,,103,55,69,85,77,78,78,86,91,,,,,
Ratios,ROCE %,14%,,,,4%,,,,-5%,,,,7%,23%,56%,3%,3%,8%,7%,7%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,64.04%,64.04%,64.04%,64.04%,64.04%,64.04%,62.45%,62.45%,62.40%,62.40%,62.40%,,,,,,,,,62.73%,,,,
Shareholding Pattern (Quarterly),FIIs,,,0.26%,0.25%,0.32%,0.16%,0.04%,0.03%,0.04%,0.03%,0.10%,0.04%,0.08%,,,,,,,,,0.06%,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.44%,0.01%,0.01%,,,,,,,,,0.01%,,,,
Shareholding Pattern (Quarterly),Public,,,35.68%,35.69%,35.62%,35.78%,35.91%,35.92%,37.50%,37.49%,37.06%,37.55%,37.51%,,,,,,,,,37.20%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,36674,39661,40802,40445,41564,41447,41428,37803,38291,38640,37772,,,,,,,,,38092,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.04%,,,,64.04%,,,,62.45%,,,,62.40%,,,,,,,,64.04%,62.73%,59.14%,59.14%,59.14%,59.14%
Shareholding Pattern (Yearly),FIIs,0.34%,,,,0.32%,,,,0.04%,,,,0.08%,,,,,,,,1.73%,0.06%,0.03%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,,,,,,0.02%,0.01%,0.07%,0.14%,0.09%,0.03%
Shareholding Pattern (Yearly),Public,35.60%,,,,35.62%,,,,37.50%,,,,37.51%,,,,,,,,34.20%,37.20%,40.76%,40.72%,40.77%,40.83%
Shareholding Pattern (Yearly),No. of Shareholders,39477,,,,40802,,,,41428,,,,37772,,,,,,,,31302,38092,24825,20147,21005,20589
,,,,,,,,,,,,,,,,,,,,,,,,,,,
