Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Balance Sheet,Other Assets,,166.80,,,,163.71,,,,139.49,,139.62,,250.09,331.54,525.69,498.32,407.89,321.44,273.66,280.43,239.42,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,193.65,,,,174.35,,,,148.61,,148.70,,282.98,362.87,558.95,530.70,439.24,347.44,298.88,310.62,267.12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,24.54,,,,20.75,,,,-0.15,,,,25.70,-38.26,-199.11,31.71,145.66,96.76,17.63,0.83,63.21,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,1.07,,,,5.86,,,,0.39,,,,-0.71,-1.02,-3.08,-0.25,0.19,0.26,0.05,0.44,7.60,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-26.95,,,,-26.05,,,,0.00,,,,-23.59,38.60,206.70,-38.40,-144.10,-99.60,-17.42,-0.79,-70.11,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-1.34,,,,0.56,,,,0.24,,,,1.40,-0.68,4.51,-6.94,1.75,-2.58,0.26,0.48,0.69,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,37.33,,,,46.75,,,,2.62,,,,44.03,63.25,73.42,50.91,50.94,49.45,72.79,85.72,42.91,,,,,,,,,,,,,,
Ratios,Inventory Days,,965.34,,,,633.34,,,,263.16,,,,724.15,704.85,771.96,1050.47,784.73,1091.48,964.72,1292.02,289.19,,,,,,,,,,,,,,
Ratios,Days Payable,,1084.83,,,,147.37,,,,139.29,,,,55.85,130.28,123.61,262.84,243.46,379.66,418.17,630.78,300.35,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,-82.16,,,,532.72,,,,126.49,,,,712.33,637.82,721.77,838.54,592.21,761.27,619.34,746.95,31.75,,,,,,,,,,,,,,
Ratios,Working Capital Days,,-1756.92,,,,-5579.73,,,,-2956.86,,,,439.21,261.59,232.44,-887.71,-1157.37,-1317.08,-3049.26,-3964.54,-2055.98,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,-1.60%,-11.67%,-2.67%,-5.29%,0.39%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,,,,,,,,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,30.04%,29.77%,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,,,,,,,,0.11%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,,,,,,,,0.08%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.14%,0.14%,0.14%,0.14%,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,,,,,,,,69.77%,69.85%,69.86%,69.86%,69.87%,69.88%,69.87%,69.86%,69.81%,69.80%,69.80%,70.08%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,,,,,,,,32613,32429,32151,32031,31681,31391,31049,31447,30988,30849,30831,30880,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,25.86%,,,,28.40%,,,,30.04%,,,,,,,,,,,26.02%,25.86%,,,,,30.04%,,,,30.04%,,,,29.77%,30.04%
Shareholding Pattern (Yearly),FIIs,,0.02%,,,,0.02%,,,,0.02%,,,,,,,,,,,0.00%,0.02%,,,,,0.02%,,,,0.02%,,,,0.02%,0.02%
Shareholding Pattern (Yearly),DIIs,,0.08%,,,,0.08%,,,,0.08%,,,,,,,,,,,0.08%,0.08%,,,,,0.09%,,,,0.09%,,,,0.14%,0.08%
Shareholding Pattern (Yearly),Public,,74.05%,,,,71.50%,,,,69.86%,,,,,,,,,,,73.91%,74.05%,,,,,69.86%,,,,69.86%,,,,70.08%,69.86%
Shareholding Pattern (Yearly),No. of Shareholders,,26793,,,,26693,,,,27520,,,,,,,,,,,28337,27110,,,,,32031,,,,31447,,,,30880,30747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
