Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Shareholding Pattern (Quarterly),FIIs,,0.90%,0.84%,0.81%,1.71%,2.11%,1.84%,3.01%,4.86%,5.02%,5.32%,5.75%,4.85%,,,
Shareholding Pattern (Quarterly),DIIs,,11.32%,11.41%,11.82%,9.99%,9.72%,10.26%,9.16%,8.78%,8.32%,7.96%,7.81%,7.21%,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,
Shareholding Pattern (Quarterly),Public,,38.95%,39.01%,38.63%,39.56%,39.42%,39.21%,39.64%,38.35%,38.56%,38.72%,38.45%,40.64%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,41960,39028,36831,35643,35821,37141,44369,44307,68256,54189,52392,54938,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.82%,,,,48.74%,,,,48.02%,,,,47.29%,,,
Shareholding Pattern (Yearly),FIIs,1.02%,,,,1.71%,,,,4.86%,,,,4.85%,,,
Shareholding Pattern (Yearly),DIIs,10.02%,,,,9.99%,,,,8.78%,,,,7.21%,,,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,,,
Shareholding Pattern (Yearly),Public,40.14%,,,,39.56%,,,,38.35%,,,,40.64%,,,
Shareholding Pattern (Yearly),No. of Shareholders,45437,,,,35643,,,,44307,,,,54938,,,
,,,,,,,,,,,,,,,,,
