Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 201418m,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2014,Mar 2015
Profit & Loss,Other Income,77,,,,-3,,,,26,,,,3,-78,6,0,90,76,9,84,2,,
Profit & Loss,Interest,21,,,,21,,,,29,,,,37,48,19,32,36,31,40,33,23,,
Profit & Loss,Depreciation,11,,,,12,,,,13,,,,13,23,5,9,10,10,10,10,10,,
Profit & Loss,Profit before tax,81,,,,-10,,,,56,,,,30,-125,4,-7,62,-32,-25,65,-12,,
Profit & Loss,Tax %,-0%,,,,1%,,,,1%,,,,-3%,2%,28%,0%,1%,-1%,-1%,0%,2%,,
Profit & Loss,Net Profit,81,,,,-10,,,,56,,,,31,-128,3,-7,62,-32,-25,64,-13,,
Profit & Loss,EPS in Rs,24.94,,,,-3.18,,,,17.09,,,,9.32,-63.95,1.60,-3.58,26.71,-13.49,-10.48,25.79,-5.04,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,33,,,,33,,,,33,,,,33,,,20,23,24,24,25,25,20,20
Balance Sheet,Reserves,-56,,,,-66,,,,-5,,,,26,,,-209,-176,-208,-233,-168,-181,-212,-214
Balance Sheet,Borrowings,100,,,,95,,,,116,,,,177,,,362,300,250,260,190,192,389,381
Balance Sheet,Other Liabilities,276,,,,241,,,,199,,,,178,,,215,265,207,236,232,253,209,209
Balance Sheet,Total Liabilities,353,,,,304,,,,343,,,,414,,,388,412,273,286,279,289,406,396
Balance Sheet,Fixed Assets,167,,,,167,,,,167,,,,201,,,180,186,178,172,164,167,174,164
Balance Sheet,CWIP,2,,,,2,,,,3,,,,5,,,14,10,10,9,14,11,13,19
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,,,0,0,0,0,0,0,0,0
Balance Sheet,Other Assets,183,,,,135,,,,174,,,,208,,,193,216,84,105,101,111,219,213
Balance Sheet,Total Assets,353,,,,304,,,,343,,,,414,,,388,412,273,286,279,289,406,396
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,41,,,,20,,,,4,,,,26,,,43,43,32,30,44,17,68,40
Cash Flows,Cash from Investing Activity,1,,,,-9,,,,-17,,,,-51,,,-20,-13,-1,-3,64,8,-6,-5
Cash Flows,Cash from Financing Activity,-29,,,,-32,,,,15,,,,26,,,-28,-27,-33,-27,-108,-17,-71,-30
Cash Flows,Net Cash Flow,13,,,,-21,,,,2,,,,1,,,-5,3,-2,-0,-0,7,-9,5
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,45,,,,52,,,,59,,,,70,,,65,71,29,41,50,32,57,144
Ratios,Inventory Days,60,,,,26,,,,43,,,,47,,,69,63,27,36,25,41,42,103
Ratios,Days Payable,218,,,,179,,,,196,,,,172,,,172,260,174,209,253,221,113,301
Ratios,Cash Conversion Cycle,-113,,,,-101,,,,-94,,,,-55,,,-38,-125,-118,-131,-177,-148,-14,-55
Ratios,Working Capital Days,-103,,,,-102,,,,-20,,,,13,,,-45,-132,-195,-175,-212,-168,-3,-26
Ratios,ROCE %,46%,,,,21%,,,,61%,,,,35%,,,12%,57%,-1%,26%,31%,27%,4%,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,39.85%,39.85%,39.84%,39.84%,39.84%,39.80%,39.79%,39.79%,39.79%,39.77%,39.76%,39.76%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.22%,1.02%,0.84%,1.55%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,60.15%,60.16%,60.16%,60.16%,60.16%,60.19%,60.20%,60.02%,59.97%,59.21%,59.40%,58.68%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,11398,11555,11888,11911,11741,11634,11616,13087,14400,17199,17999,17889,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,39.89%,,,,39.84%,,,,39.79%,,,,39.76%,,,,56.11%,54.93%,54.93%,52.13%,52.09%,,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.18%,,,,1.55%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,2.43%,2.26%,2.26%,2.14%,1.13%,,
Shareholding Pattern (Yearly),Public,60.11%,,,,60.16%,,,,60.02%,,,,58.68%,,,,41.46%,42.81%,42.81%,45.73%,46.78%,,
Shareholding Pattern (Yearly),No. of Shareholders,11289,,,,11911,,,,13087,,,,17889,,,,17556,17088,12831,12494,11831,,
,,,,,,,,,,,,,,,,,,,,,,,,
