Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Profit & Loss,Operating Profit,-1,,,,-2,,,,-1,,,,-2,28,25,29,23,28,-17,15,-10,
Profit & Loss,OPM %,,,,,,,,,,,,,,28%,24%,25%,18%,21%,-32%,,,
Profit & Loss,Other Income,1,,,,0,,,,1,,,,85,1,1,1,1,1,-20,-35,0,
Profit & Loss,Interest,4,,,,4,,,,4,,,,2,46,41,18,29,24,154,4,4,
Profit & Loss,Depreciation,0,,,,0,,,,0,,,,0,9,5,6,7,7,3,0,0,
Profit & Loss,Profit before tax,-5,,,,-5,,,,-5,,,,81,-26,-20,5,-11,-2,-194,-24,-14,
Profit & Loss,Tax %,-29%,,,,32%,,,,50%,,,,1%,-29%,0%,0%,-6%,0%,0%,0%,0%,
Profit & Loss,Net Profit,-3,,,,-7,,,,-7,,,,80,-18,-20,5,-10,-2,-194,-24,-14,
Profit & Loss,EPS in Rs,-2.67,,,,-5.61,,,,-5.74,,,,54.64,-20.54,-15.53,3.95,-7.99,-1.30,-152.02,-18.72,-11.21,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,13,,,,13,,,,15,9,13,13,13,13,13,13,13,
Balance Sheet,Reserves,-124,,,,-132,,,,-139,,,,-34,40,53,58,113,111,-83,-107,-121,
Balance Sheet,Borrowings,123,,,,127,,,,130,,,,17,370,350,370,327,331,110,115,119,
Balance Sheet,Other Liabilities,6,,,,5,,,,5,,,,10,263,297,324,380,335,7,6,6,
Balance Sheet,Total Liabilities,17,,,,13,,,,9,,,,8,682,713,765,834,791,47,26,16,
Balance Sheet,Fixed Assets,3,,,,3,,,,2,,,,3,464,545,570,557,549,3,3,3,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,117,71,67,160,158,3,0,0,
Balance Sheet,Investments,0,,,,0,,,,1,,,,2,43,43,50,45,43,27,0,0,
Balance Sheet,Other Assets,14,,,,10,,,,6,,,,3,58,54,79,72,41,14,23,14,
Balance Sheet,Total Assets,17,,,,13,,,,9,,,,8,682,713,765,834,791,47,26,16,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0,,,,0,,,,1,,,,-1,158,89,49,-49,67,-487,-24,1,
Cash Flows,Cash from Investing Activity,-0,,,,-0,,,,-1,,,,-1,-26,-46,-34,-76,3,632,28,-0,
Cash Flows,Cash from Financing Activity,-0,,,,-0,,,,-0,,,,2,-133,-41,-18,134,-70,-154,-4,-0,
Cash Flows,Net Cash Flow,-0,,,,-0,,,,-0,,,,-0,-1,2,-3,9,-1,-9,-0,1,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,18,22,18,27,32,4,,,
Ratios,Inventory Days,,,,,,,,,,,,,,353,370,290,85,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,223,302,156,244,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,148,90,152,-133,32,4,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,-1423,-1591,-1530,-1422,-1378,-434,,,
Ratios,ROCE %,-6%,,,,-14%,,,,-13%,,,,-181%,4%,4%,5%,3%,4%,-6%,50%,-65%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,61.39%,61.39%,61.39%,61.39%,61.39%,61.39%,61.39%,61.39%,61.39%,66.38%,66.38%,,,,,,,,,71.38%
Shareholding Pattern (Quarterly),Public,,,38.61%,38.61%,38.61%,38.61%,38.61%,38.61%,38.61%,38.61%,38.62%,33.62%,33.61%,,,,,,,,,28.63%
Shareholding Pattern (Quarterly),No. of Shareholders,,,1550,1544,1541,1585,1583,1599,1587,1587,1574,1551,1877,,,,,,,,,1998
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.39%,,,,61.39%,,,,61.39%,,,,66.38%,,,61.39%,61.39%,61.39%,61.39%,61.39%,61.39%,71.38%
Shareholding Pattern (Yearly),Public,38.61%,,,,38.61%,,,,38.61%,,,,33.61%,,,38.61%,38.61%,38.61%,38.61%,38.61%,38.61%,28.63%
Shareholding Pattern (Yearly),No. of Shareholders,1571,,,,1541,,,,1587,,,,1877,,,1025,1052,1053,1114,1430,1496,1998
,,,,,,,,,,,,,,,,,,,,,,,
