Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Jan 2025
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,22%,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,120,,,,120,,,,121,,121,,119,119,119,119,119,,
Balance Sheet,Reserves,,362,,,,415,,,,341,,413,,275,284,306,380,440,,
Balance Sheet,Borrowings,,1104,,,,1231,,,,1120,,1069,,657,703,1105,1159,1622,,
Balance Sheet,Other Liabilities,,767,,,,517,,,,510,,517,,365,450,524,583,733,,
Balance Sheet,Total Liabilities,,2353,,,,2283,,,,2091,,2121,,1416,1555,2054,2241,2914,,
Balance Sheet,Fixed Assets,,910,,,,804,,,,718,,631,,493,549,1008,1052,965,,
Balance Sheet,CWIP,,44,,,,40,,,,29,,22,,68,66,50,89,58,,
Balance Sheet,Investments,,0,,,,1,,,,2,,1,,0,0,0,2,10,,
Balance Sheet,Other Assets,,1399,,,,1439,,,,1343,,1468,,855,941,997,1098,1880,,
Balance Sheet,Total Assets,,2353,,,,2283,,,,2091,,2121,,1416,1555,2054,2241,2914,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,325,,,,249,,,,349,,,,206,196,486,446,418,,
Cash Flows,Cash from Investing Activity,,-12,,,,-126,,,,-15,,,,-210,-161,-165,-291,-156,,
Cash Flows,Cash from Financing Activity,,-875,,,,-137,,,,-316,,,,15,-31,-315,-172,320,,
Cash Flows,Net Cash Flow,,-562,,,,-14,,,,18,,,,12,4,6,-16,582,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,188,,,,197,,,,181,,,,82,91,90,93,102,,
Ratios,Inventory Days,,104,,,,152,,,,276,,,,190,143,95,85,100,,
Ratios,Days Payable,,817,,,,752,,,,1035,,,,224,209,251,344,398,,
Ratios,Cash Conversion Cycle,,-525,,,,-403,,,,-578,,,,48,25,-66,-166,-196,,
Ratios,Working Capital Days,,75,,,,138,,,,124,,,,73,73,21,25,14,,
Ratios,ROCE %,,10%,,,,12%,,,,1%,,,,,10%,17%,16%,11%,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,65.52%,65.52%,65.52%,65.52%,65.52%,65.52%,65.52%,65.53%,65.53%,65.06%,60.11%,,,,,,,59.06%
Shareholding Pattern (Quarterly),FIIs,,,5.60%,4.57%,3.18%,0.63%,0.06%,0.01%,0.44%,1.65%,0.83%,0.02%,0.41%,,,,,,,0.41%
Shareholding Pattern (Quarterly),DIIs,,,7.46%,7.31%,6.28%,5.27%,5.27%,5.27%,3.85%,3.85%,3.78%,3.75%,4.99%,,,,,,,6.12%
Shareholding Pattern (Quarterly),Public,,,20.40%,21.57%,24.11%,27.83%,28.40%,28.43%,29.87%,28.66%,29.55%,30.33%,34.23%,,,,,,,34.16%
Shareholding Pattern (Quarterly),Others,,,1.01%,1.01%,0.91%,0.75%,0.75%,0.75%,0.31%,0.31%,0.30%,0.83%,0.26%,,,,,,,0.26%
Shareholding Pattern (Quarterly),No. of Shareholders,,,120776,115547,113002,111310,108075,106872,102102,93316,92299,90136,92922,,,,,,,92923
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,65.52%,,,,65.52%,,,,65.53%,,,,,,,,,,59.06%
Shareholding Pattern (Yearly),FIIs,,6.26%,,,,0.63%,,,,1.65%,,,,,,,,,,0.41%
Shareholding Pattern (Yearly),DIIs,,8.01%,,,,5.27%,,,,3.85%,,,,,,,,,,6.12%
Shareholding Pattern (Yearly),Public,,19.19%,,,,27.83%,,,,28.66%,,,,,,,,,,34.16%
Shareholding Pattern (Yearly),Others,,1.01%,,,,0.75%,,,,0.31%,,,,,,,,,,0.26%
Shareholding Pattern (Yearly),No. of Shareholders,,128788,,,,111310,,,,93316,,,,,,,,,,92923
,,,,,,,,,,,,,,,,,,,,,
