Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Cash Flows,Cash from Financing Activity,-231,,,,-246,,,,-454,,,,-80,380,122,-155,-156,-105,-37,-229,-475,
Cash Flows,Net Cash Flow,0,,,,1,,,,34,,,,-15,22,-7,-8,1,-8,-22,-1,-1,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,42,,,,34,,,,34,,,,44,48,42,47,65,63,51,46,50,
Ratios,Inventory Days,59,,,,68,,,,66,,,,58,94,87,68,79,84,66,80,74,
Ratios,Days Payable,35,,,,24,,,,22,,,,24,13,19,13,36,40,27,26,41,
Ratios,Cash Conversion Cycle,65,,,,78,,,,77,,,,79,129,109,101,108,107,90,101,83,
Ratios,Working Capital Days,58,,,,64,,,,61,,,,64,88,83,76,94,94,77,85,74,
Ratios,ROCE %,16%,,,,23%,,,,21%,,,,21%,10%,9%,11%,,11%,,11%,13%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.96%,62.96%,62.96%,62.96%,62.96%,62.96%,62.96%,62.96%,62.96%,62.96%,62.47%,62.47%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.71%,1.18%,0.86%,2.54%,4.87%,5.15%,5.26%,5.02%,4.49%,4.87%,4.53%,4.12%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.24%,0.04%,0.24%,0.24%,0.45%,0.45%,0.52%,0.56%,1.00%,1.03%,1.46%,1.63%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,33.10%,33.93%,34.33%,33.15%,30.63%,30.54%,30.63%,31.11%,31.27%,31.02%,31.49%,31.75%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,1.99%,1.89%,1.61%,1.11%,1.09%,0.91%,0.62%,0.36%,0.29%,0.12%,0.06%,0.03%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,45646,46645,45722,38133,41374,43083,47632,53438,59595,55546,61302,66600,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.96%,,,,62.96%,,,,62.96%,,,,62.47%,,,,,63.32%,62.90%,62.90%,62.96%,62.90%
Shareholding Pattern (Yearly),FIIs,1.04%,,,,2.54%,,,,5.02%,,,,4.12%,,,,,2.77%,1.30%,1.16%,1.29%,1.12%
Shareholding Pattern (Yearly),DIIs,1.24%,,,,0.24%,,,,0.56%,,,,1.63%,,,,,1.47%,2.41%,2.31%,1.61%,2.22%
Shareholding Pattern (Yearly),Public,32.76%,,,,33.15%,,,,31.11%,,,,31.75%,,,,,32.44%,33.38%,33.62%,32.67%,33.76%
Shareholding Pattern (Yearly),Others,1.99%,,,,1.11%,,,,0.36%,,,,0.03%,,,,,0.00%,0.00%,0.00%,1.47%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,45077,,,,38133,,,,53438,,,,66600,,,,,22827,24137,25065,25413,22760
,,,,,,,,,,,,,,,,,,,,,,,
