Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Profit & Loss,Profit before tax,-508,,,,-108,,,,-632,,,,453,469,540,534,554,737,2,125,8,
Profit & Loss,Tax %,-23%,,,,88%,,,,-0%,,,,-28%,24%,30%,25%,24%,27%,70%,34%,-694%,
Profit & Loss,Net Profit,-391,,,,-203,,,,-629,,,,578,356,378,398,421,536,1,83,62,
Profit & Loss,EPS in Rs,-0.84,,,,-0.44,,,,-1.35,,,,0.91,0.99,1.06,1.11,1.18,1.36,0.00,0.21,0.13,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,15%,15%,15%,4%,4%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,465,,,,465,,,,465,,,,636,179,179,179,179,394,395,395,465,
Balance Sheet,Reserves,3423,,,,3225,,,,2466,,,,5557,1503,1811,2230,3173,3487,3526,3608,3804,
Balance Sheet,Borrowings,3391,,,,3736,,,,4150,,,,2151,1004,682,970,803,1116,2121,2429,2414,
Balance Sheet,Other Liabilities,266,,,,209,,,,188,,,,68,1546,2052,2371,3242,3987,1608,1465,1214,
Balance Sheet,Total Liabilities,7545,,,,7636,,,,7269,,,,8412,4233,4724,5751,7397,8984,7649,7897,7898,
Balance Sheet,Fixed Assets,121,,,,115,,,,71,,,,94,84,90,91,88,93,74,169,139,
Balance Sheet,CWIP,0,,,,1,,,,0,,,,0,1,0,0,0,1,1,1,0,
Balance Sheet,Investments,3,,,,2,,,,3,,,,0,185,13,8,9,19,8,8,15,
Balance Sheet,Other Assets,7421,,,,7518,,,,7196,,,,8318,3963,4621,5652,7299,8872,7566,7720,7744,
Balance Sheet,Total Assets,7545,,,,7636,,,,7269,,,,8412,4233,4724,5751,7397,8984,7649,7897,7898,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-719,,,,100,,,,64,,,,-633,-786,333,16,794,358,-1931,76,91,
Cash Flows,Cash from Investing Activity,115,,,,30,,,,7,,,,2,246,213,-25,-530,-378,978,38,94,
Cash Flows,Cash from Financing Activity,570,,,,-111,,,,-108,,,,688,571,-565,16,47,-4,652,-170,-156,
Cash Flows,Net Cash Flow,-34,,,,19,,,,-37,,,,57,31,-19,7,312,-24,-302,-57,30,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,65,,,,63,,,,110,,,,57,43,45,49,66,70,84,132,185,
Ratios,Inventory Days,1465,,,,1012,,,,3044,,,,1373,194,219,225,206,232,227,434,954,
Ratios,Days Payable,4,,,,3,,,,7,,,,3,105,123,126,147,160,57,87,150,
Ratios,Cash Conversion Cycle,1526,,,,1072,,,,3147,,,,1428,132,140,147,125,142,253,479,988,
Ratios,Working Capital Days,1307,,,,896,,,,3434,,,,1135,136,126,142,114,121,234,417,808,
Ratios,ROCE %,-1%,,,,5%,,,,-2%,,,,7%,29%,28%,26%,22%,23%,7%,8%,6%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,54.53%,54.53%,54.53%,54.53%,54.53%,54.53%,54.53%,54.53%,54.53%,43.52%,39.98%,,,,,,,,,39.80%
Shareholding Pattern (Quarterly),FIIs,,,1.41%,2.15%,1.65%,1.04%,0.84%,0.78%,0.93%,2.57%,3.31%,5.55%,5.06%,,,,,,,,,4.90%
Shareholding Pattern (Quarterly),DIIs,,,1.49%,1.45%,1.45%,1.45%,1.49%,1.45%,1.45%,1.45%,1.47%,1.26%,9.37%,,,,,,,,,9.10%
Shareholding Pattern (Quarterly),Public,,,42.56%,41.87%,42.36%,42.98%,43.15%,43.24%,43.08%,41.45%,40.69%,49.66%,45.59%,,,,,,,,,46.19%
Shareholding Pattern (Quarterly),No. of Shareholders,,,187383,172881,193185,201246,225916,230352,210400,209539,259231,412090,461210,,,,,,,,,466538
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,54.53%,,,,54.53%,,,,54.53%,,,,39.98%,,,,68.48%,60.24%,57.59%,46.45%,54.53%,39.80%
Shareholding Pattern (Yearly),FIIs,0.99%,,,,1.65%,,,,0.93%,,,,5.06%,,,,25.04%,31.22%,15.45%,2.24%,0.51%,4.90%
Shareholding Pattern (Yearly),DIIs,1.49%,,,,1.45%,,,,1.45%,,,,9.37%,,,,0.00%,2.61%,1.97%,2.08%,1.49%,9.10%
Shareholding Pattern (Yearly),Public,42.97%,,,,42.36%,,,,43.08%,,,,45.59%,,,,6.47%,5.93%,24.99%,49.24%,43.47%,46.19%
Shareholding Pattern (Yearly),No. of Shareholders,216619,,,,193185,,,,210400,,,,461210,,,,18410,69197,196936,248244,221031,466538
,,,,,,,,,,,,,,,,,,,,,,,
