Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Balance Sheet,CWIP,5,,,,20,,,,20,,,,19,0,8,12,5,2,,,,
Balance Sheet,Investments,468,,,,326,,,,279,,,,336,14,12,55,64,288,,,,
Balance Sheet,Other Assets,1332,,,,1738,,,,1929,,,,1740,351,400,450,494,1369,,,,
Balance Sheet,Total Assets,1989,,,,2264,,,,2477,,,,2359,434,516,629,707,1852,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,369,,,,-64,,,,167,,,,61,1,27,107,58,134,,,,
Cash Flows,Cash from Investing Activity,-298,,,,124,,,,18,,,,-61,-1,-32,-72,-52,-82,,,,
Cash Flows,Cash from Financing Activity,-76,,,,-69,,,,-63,,,,-103,-3,11,-30,-4,-19,,,,
Cash Flows,Net Cash Flow,-4,,,,-9,,,,122,,,,-102,-3,5,4,2,32,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,73,,,,75,,,,76,,,,74,96,87,86,80,103,,,,
Ratios,Inventory Days,95,,,,103,,,,100,,,,91,126,88,90,65,179,,,,
Ratios,Days Payable,102,,,,92,,,,90,,,,69,132,109,134,123,164,,,,
Ratios,Cash Conversion Cycle,67,,,,87,,,,87,,,,96,89,66,42,23,118,,,,
Ratios,Working Capital Days,67,,,,87,,,,89,,,,110,71,68,42,33,92,,,,
Ratios,ROCE %,31%,,,,24%,,,,18%,,,,11%,,23%,32%,10%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.81%,71.81%,71.81%,71.92%,71.92%,71.92%,71.92%,68.92%,68.92%,68.91%,68.91%,68.91%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.60%,1.78%,1.87%,1.92%,1.86%,1.73%,1.41%,1.33%,1.43%,1.43%,1.20%,0.91%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,7.40%,7.40%,7.40%,7.40%,7.72%,7.42%,7.40%,10.68%,11.06%,11.47%,12.32%,12.96%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,19.20%,19.02%,18.93%,18.76%,18.50%,18.95%,19.28%,19.08%,18.58%,18.18%,17.58%,17.22%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,21745,27233,29315,29275,29057,28999,28210,32031,33922,37382,35013,34267,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.81%,,,,71.92%,,,,68.92%,,,,68.91%,,,,,71.75%,71.58%,71.63%,71.63%,71.75%
Shareholding Pattern (Yearly),FIIs,1.55%,,,,1.92%,,,,1.33%,,,,0.91%,,,,,3.13%,5.62%,4.60%,4.40%,4.38%
Shareholding Pattern (Yearly),DIIs,7.39%,,,,7.40%,,,,10.68%,,,,12.96%,,,,,9.08%,9.99%,11.21%,11.73%,11.94%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.00%,0.00%,0.24%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,19.25%,,,,18.76%,,,,19.08%,,,,17.22%,,,,,16.04%,12.81%,12.31%,12.23%,11.93%
Shareholding Pattern (Yearly),No. of Shareholders,21770,,,,29275,,,,32031,,,,34267,,,,,29909,8372,7894,7740,8132
,,,,,,,,,,,,,,,,,,,,,,,
