Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Shareholding Pattern (Quarterly),FIIs,,1.74%,1.76%,2.17%,2.04%,2.02%,1.56%,1.66%,1.65%,1.54%,1.61%,1.81%,2.03%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,1.13%,1.44%,2.06%,2.41%,2.62%,2.84%,2.63%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.42%,25.45%,24.76%,24.89%,24.91%,24.23%,24.13%,23.81%,23.61%,23.68%,23.42%,23.52%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,66769,75044,66028,65119,63445,57528,50249,46923,46799,47781,47720,49837,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.86%,,,,73.08%,,,,72.48%,,,,71.82%,,,,72.79%,72.50%,72.32%,72.83%,72.83%,72.87%
Shareholding Pattern (Yearly),FIIs,1.77%,,,,2.04%,,,,1.65%,,,,2.03%,,,,8.56%,8.03%,2.53%,2.21%,0.03%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,2.06%,,,,2.63%,,,,0.87%,0.11%,0.11%,0.13%,0.00%,15.25%
Shareholding Pattern (Yearly),Public,25.37%,,,,24.89%,,,,23.81%,,,,23.52%,,,,17.77%,19.36%,25.04%,24.83%,27.14%,11.88%
Shareholding Pattern (Yearly),No. of Shareholders,67491,,,,65119,,,,46923,,,,49837,,,,67230,48863,50758,56017,68139,109514
,,,,,,,,,,,,,,,,,,,,,,,
