Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Feb 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Investments,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,240,206,210,347,300,323,404,490,384,386,560,230,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,506,631,692,803,808,966,1055,1113,974,949,1112,760,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,42,85,21,12,73,122,136,21,12,15,204,129,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-89,-177,-52,7,-42,-163,-51,-10,2,-0,1,32,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,66,72,44,-4,-45,34,-87,71,-100,-16,-151,-215,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,19,-20,12,16,-14,-7,-2,82,-86,-2,55,-54,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,27,20,11,16,19,33,23,13,19,28,31,31,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,158,161,167,239,112,106,161,170,183,186,285,129,,,,,,,,,,,,,,,,,
Ratios,Days Payable,123,206,114,93,53,55,74,100,126,84,157,118,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,62,-25,64,161,78,84,110,83,75,130,159,42,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,77,19,65,117,30,18,12,30,35,30,-8,-35,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,0%,15%,21%,7%,12%,12%,4%,-3%,2%,16%,11%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,40.66%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.65%,40.71%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.04%,0.00%,0.29%,0.09%,0.01%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,15.01%,15.01%,15.01%,14.52%,12.38%,11.80%,4.90%,2.88%,2.88%,2.88%,2.88%,2.88%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,44.33%,44.33%,44.33%,44.82%,46.94%,47.49%,54.43%,56.42%,56.45%,56.15%,56.37%,56.39%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,22573,22243,22869,23155,24117,25219,25596,30879,32316,32660,32650,32638,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,47.83%,47.83%,,,,40.65%,,,,40.65%,,,,40.71%,41.09%,47.83%,47.83%,47.83%,40.66%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,0.00%,0.00%,,,,0.00%,,,,0.04%,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,0.04%,0.05%,,,,14.52%,,,,2.88%,,,,2.88%,0.04%,0.02%,0.02%,0.02%,15.01%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,52.12%,52.11%,,,,44.82%,,,,56.42%,,,,56.39%,58.86%,52.14%,52.14%,52.14%,44.33%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,22467,18581,,,,23155,,,,30879,,,,32638,22653,18163,17744,17653,22158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
