Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Ratios,Debtor Days,,80,,,,67,,,,86,,,,38,87,97,119,102,,
Ratios,Inventory Days,,221,,,,15,,,,9,,,,0,0,0,135,130,,
Ratios,Days Payable,,46,,,,47,,,,64,,,,,,,175,79,,
Ratios,Cash Conversion Cycle,,255,,,,34,,,,32,,,,38,87,97,79,152,,
Ratios,Working Capital Days,,229,,,,82,,,,185,,,,4,20,38,136,187,,
Ratios,ROCE %,,23%,,,,12%,,,,14%,,,,,165%,68%,16%,12%,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,71.34%,71.36%,64.67%,64.67%,64.67%,64.67%,62.60%,62.63%,62.77%,62.59%,62.66%,,,,,,,35.88%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.84%,1.84%,1.83%,1.94%,2.57%,2.94%,2.39%,1.98%,2.30%,0.63%,,,,,,,4.88%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.47%,0.42%,0.66%,0.66%,0.75%,0.84%,0.09%,0.00%,0.00%,0.00%,,,,,,,0.14%
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,,,,,,,1.35%
Shareholding Pattern (Quarterly),Public,,,28.66%,27.32%,33.07%,32.85%,32.72%,32.01%,33.62%,34.88%,35.25%,35.13%,35.34%,,,,,,,57.75%
Shareholding Pattern (Quarterly),No. of Shareholders,,,605,897,1735,2299,2996,10675,20389,60735,69500,85320,94031,,,,,,,107447
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,71.17%,,,,64.67%,,,,62.63%,,,,,,,70.72%,70.72%,,35.88%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,1.83%,,,,2.39%,,,,,,,0.00%,0.00%,,4.88%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.66%,,,,0.09%,,,,,,,0.00%,0.00%,,0.14%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,0.00%,,,,,,,0.00%,0.00%,,1.35%
Shareholding Pattern (Yearly),Public,,28.83%,,,,32.85%,,,,34.88%,,,,,,,29.28%,29.28%,,57.75%
Shareholding Pattern (Yearly),No. of Shareholders,,408,,,,2299,,,,60735,,,,,,,155,132,,107447
,,,,,,,,,,,,,,,,,,,,,
