Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Jun 2025,Mar 2018,Mar 2019
Profit & Loss,Tax %,28%,,,,35%,,,,29%,,,,32%,45%,29%,,,
Profit & Loss,Net Profit,15,,,,19,,,,31,,,,56,14,10,,,
Profit & Loss,EPS in Rs,0.70,,,,0.90,,,,1.10,,,,1.84,0.67,0.49,,,
Profit & Loss,Dividend Payout %,4%,,,,3%,,,,5%,,,,0%,7%,5%,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,21,,,,28,,,,31,21,21,,,
Balance Sheet,Reserves,299,,,,363,,,,490,,,,576,275,284,,,
Balance Sheet,Borrowings,116,,,,144,,,,208,,,,335,83,117,,,
Balance Sheet,Other Liabilities,164,,,,165,,,,230,,,,357,86,110,,,
Balance Sheet,Total Liabilities,599,,,,693,,,,956,,,,1299,465,532,,,
Balance Sheet,Fixed Assets,86,,,,106,,,,144,,,,182,50,49,,,
Balance Sheet,CWIP,30,,,,32,,,,35,,,,72,37,52,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,,,
Balance Sheet,Other Assets,484,,,,555,,,,777,,,,1045,378,430,,,
Balance Sheet,Total Assets,599,,,,693,,,,956,,,,1299,465,532,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,43,,,,-16,,,,-78,,,,11,47,6,,,
Cash Flows,Cash from Investing Activity,-24,,,,-35,,,,-59,,,,-95,-19,-23,,,
Cash Flows,Cash from Financing Activity,-19,,,,51,,,,137,,,,124,-36,17,,,
Cash Flows,Net Cash Flow,0,,,,-0,,,,-0,,,,40,-8,0,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,205,,,,180,,,,231,,,,155,201,305,,,
Ratios,Inventory Days,597,,,,594,,,,612,,,,553,421,546,,,
Ratios,Days Payable,258,,,,195,,,,234,,,,255,115,189,,,
Ratios,Cash Conversion Cycle,544,,,,579,,,,609,,,,452,507,661,,,
Ratios,Working Capital Days,486,,,,492,,,,549,,,,424,435,581,,,
Ratios,ROCE %,9%,,,,11%,,,,12%,,,,14%,,8%,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,59.10%,59.10%,59.10%,59.10%,52.67%,53.21%,53.21%,55.12%,55.12%,55.12%,55.12%,,,50.65%,,
Shareholding Pattern (Quarterly),FIIs,,,0.71%,0.65%,0.12%,0.17%,5.27%,11.01%,11.14%,7.42%,0.19%,0.74%,0.93%,,,6.58%,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,2.63%,3.59%,3.64%,3.31%,0.01%,0.01%,0.00%,0.87%,0.87%,0.37%,,,1.41%,,
Shareholding Pattern (Quarterly),Public,,,40.18%,37.63%,37.19%,37.10%,38.76%,35.76%,35.62%,37.46%,43.82%,43.29%,43.60%,,,41.37%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,46146,41535,42134,59539,85206,143778,179049,215587,282055,286027,280427,,,300093,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,59.10%,,,,59.10%,,,,53.21%,,,,55.12%,63.92%,59.10%,50.65%,63.92%,63.92%
Shareholding Pattern (Yearly),FIIs,1.75%,,,,0.12%,,,,11.14%,,,,0.93%,3.90%,3.86%,6.58%,4.63%,4.26%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,3.59%,,,,0.01%,,,,0.37%,4.67%,2.22%,1.41%,7.35%,6.69%
Shareholding Pattern (Yearly),Public,39.15%,,,,37.19%,,,,35.62%,,,,43.60%,27.49%,34.82%,41.37%,24.10%,25.10%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.02%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),No. of Shareholders,48531,,,,42134,,,,179049,,,,280427,28375,41492,300093,31720,29992
,,,,,,,,,,,,,,,,,,,
