Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016,Feb 2016
Balance Sheet,Borrowings,122,,,,162,,,,156,,,,163,26,82,,120,114,123,132,109,87,
Balance Sheet,Other Liabilities,71,,,,61,,,,61,,,,91,32,77,,154,207,147,170,102,97,
Balance Sheet,Total Liabilities,672,,,,596,,,,660,,,,789,101,237,,452,581,599,718,632,309,
Balance Sheet,Fixed Assets,199,,,,64,,,,69,,,,63,54,107,,222,228,220,278,206,118,
Balance Sheet,CWIP,0,,,,0,,,,18,,,,32,0,0,,1,0,0,0,0,1,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,2,0,,0,0,0,0,0,0,
Balance Sheet,Other Assets,473,,,,533,,,,573,,,,694,46,129,,229,353,379,441,425,190,
Balance Sheet,Total Assets,672,,,,596,,,,660,,,,789,101,237,,452,581,599,718,632,309,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,24,,,,56,,,,6,20,17,,43,55,59,56,80,14,
Cash Flows,Cash from Investing Activity,-4,,,,-72,,,,-40,,,,-25,-35,-56,,-46,-40,-39,-39,32,-29,
Cash Flows,Cash from Financing Activity,-11,,,,53,,,,-19,,,,19,19,51,,12,-10,-15,-13,-102,7,
Cash Flows,Net Cash Flow,-14,,,,5,,,,-2,,,,-0,4,12,,8,4,5,4,9,-9,
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,96,,,,102,,,,100,,,,108,80,117,,87,87,81,96,97,124,
Ratios,Inventory Days,,,,,,,,,,,,,,30,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,331,,,,,,,,,
Ratios,Cash Conversion Cycle,96,,,,102,,,,100,,,,108,-221,117,,87,87,81,96,97,124,
Ratios,Working Capital Days,162,,,,168,,,,172,,,,191,67,51,,59,76,86,115,129,83,
Ratios,ROCE %,17%,,,,14%,,,,16%,,,,17%,21%,27%,,32%,34%,28%,21%,18%,34%,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,52.16%,52.16%,52.11%,52.14%,52.14%,52.14%,52.10%,51.94%,51.68%,40.82%,40.82%,40.82%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.08%,0.09%,0.06%,0.03%,0.07%,0.08%,0.44%,0.79%,0.46%,1.32%,1.43%,1.07%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.29%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,47.47%,47.45%,47.84%,47.84%,47.78%,47.79%,47.46%,47.27%,47.87%,57.86%,57.75%,58.11%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,118022,115533,112155,108170,116164,144331,153949,165970,165953,184966,187609,188940,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.16%,,,,52.14%,,,,51.94%,,,,40.82%,,,,61.90%,60.56%,60.56%,62.07%,55.85%,,62.33%
Shareholding Pattern (Yearly),FIIs,0.48%,,,,0.03%,,,,0.79%,,,,1.07%,,,,3.72%,4.89%,2.95%,0.00%,1.34%,,0.00%
Shareholding Pattern (Yearly),DIIs,3.64%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.06%,0.35%,0.30%,0.37%,0.30%,,0.00%
Shareholding Pattern (Yearly),Public,43.72%,,,,47.84%,,,,47.27%,,,,58.11%,,,,34.32%,34.20%,36.19%,37.56%,42.50%,,37.67%
Shareholding Pattern (Yearly),No. of Shareholders,117877,,,,108170,,,,165970,,,,188940,,,,11672,13056,15928,15691,21691,,8462
,,,,,,,,,,,,,,,,,,,,,,,,
