Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Inventory Days,141,123,117,93,102,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,152,149,108,140,130,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,41,19,46,-12,14,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,51,42,29,19,31,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,33%,42%,39%,22%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,38.74%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,38.73%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,0.86%,1.02%,1.39%,0.95%,0.94%,1.83%,0.98%,1.00%,1.04%,1.06%,1.01%,0.89%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.40%,7.48%,9.38%,8.59%,8.59%,7.77%,3.18%,3.14%,2.90%,2.90%,1.69%,0.25%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,51.00%,52.76%,50.49%,51.73%,51.72%,51.66%,57.11%,57.11%,57.33%,57.31%,58.57%,60.12%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,71578,73565,84472,79979,83151,94035,101910,99145,108627,105738,106635,105635,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,38.73%,,,,38.73%,,,,38.73%,38.65%,38.52%,38.52%,38.74%,38.74%,38.74%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.95%,,,,1.00%,,,,0.89%,3.81%,1.71%,0.43%,0.10%,0.04%,0.79%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,8.59%,,,,3.14%,,,,0.25%,17.91%,19.94%,17.80%,15.36%,12.07%,10.58%
Shareholding Pattern (Yearly),Government,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.38%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,51.73%,,,,57.11%,,,,60.12%,39.63%,39.45%,43.25%,45.80%,49.16%,49.89%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,79979,,,,99145,,,,105635,24306,36197,48958,55543,60636,70532
,,,,,,,,,,,,,,,,,,,,,,,,
