Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Shareholding Pattern (Quarterly),Promoters,,,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,66.64%,,,,,,,66.64%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.08%,0.03%,,,,,,,0.03%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,33.36%,33.35%,33.35%,33.35%,33.36%,33.35%,33.34%,33.34%,33.34%,33.26%,33.32%,,,,,,,33.32%
Shareholding Pattern (Quarterly),No. of Shareholders,,,4871,5259,5116,4987,5237,5179,5536,5457,5395,6048,6000,,,,,,,5853
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.04%,,,,66.64%,,,,66.64%,,,,66.64%,,,56.34%,59.60%,60.15%,61.77%,66.64%
Shareholding Pattern (Yearly),FIIs,0.12%,,,,0.00%,,,,0.00%,,,,0.03%,,,0.00%,0.00%,0.00%,0.00%,0.03%
Shareholding Pattern (Yearly),DIIs,0.01%,,,,0.01%,,,,0.01%,,,,0.01%,,,3.45%,3.45%,3.45%,3.45%,0.01%
Shareholding Pattern (Yearly),Public,33.83%,,,,33.35%,,,,33.34%,,,,33.32%,,,40.22%,36.95%,36.41%,34.78%,33.32%
Shareholding Pattern (Yearly),No. of Shareholders,5019,,,,5116,,,,5536,,,,6000,,,6168,5813,5463,5151,5853
,,,,,,,,,,,,,,,,,,,,,
