Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Operating Profit,0.13,,,,5.91,,,,14.32,,,,12.15,-199.27,-22.68,-46.83,-7.74,-9.79,-5.26,-22.09,-0.86,,,,,
Profit & Loss,OPM %,0.34%,,,,11.32%,,,,21.56%,,,,15.51%,-100.81%,-24.23%,-57.42%,-8.68%,-12.97%,-5.60%,-20.97%,-2.14%,,,,,
Profit & Loss,Other Income,10.93,,,,9.83,,,,5.34,,,,-7.53,10.76,1.70,66.70,116.42,71.68,39.15,16.71,16.46,,,,,
Profit & Loss,Interest,1.74,,,,1.54,,,,0.80,,,,2.16,24.06,25.00,13.34,10.68,4.68,11.38,8.50,0.88,,,,,
Profit & Loss,Depreciation,1.67,,,,1.69,,,,1.99,,,,2.29,22.85,15.81,10.85,21.40,8.17,1.71,3.56,0.49,,,,,
Profit & Loss,Profit before tax,7.65,,,,12.51,,,,16.87,,,,0.17,-235.42,-61.79,-4.32,76.60,49.04,20.80,-17.44,14.23,,,,,
Profit & Loss,Tax %,-69.28%,,,,59.55%,,,,20.51%,,,,47.06%,-38.11%,-106.39%,-21.99%,0.99%,-18.25%,191.92%,754.64%,159.38%,,,,,
Profit & Loss,Net Profit,12.95,,,,5.06,,,,13.41,,,,0.09,-145.69,3.95,-3.37,75.84,57.99,-19.11,-149.06,-13.93,,,,,
Profit & Loss,EPS in Rs,2.65,,,,1.03,,,,2.74,,,,0.02,-30.03,0.81,-0.58,16.25,12.00,-1.17,-29.01,-2.85,,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,48.91,,,,48.98,,,,48.98,,,,48.98,48.51,48.51,48.51,48.51,48.67,48.89,48.89,48.89,,,,,
Balance Sheet,Reserves,117.19,,,,187.00,,,,200.52,,,,200.38,-63.77,-59.83,4.94,94.51,153.94,149.06,47.59,8.50,,,,,
Balance Sheet,Borrowings,31.19,,,,22.86,,,,30.09,,,,8.05,528.92,570.50,456.43,305.82,217.69,192.69,169.69,176.11,,,,,
Balance Sheet,Other Liabilities,339.03,,,,340.41,,,,336.76,,,,355.48,165.27,104.48,111.73,77.71,67.75,220.52,281.74,55.68,,,,,
Balance Sheet,Total Liabilities,536.32,,,,599.25,,,,616.35,,,,612.89,678.93,663.66,621.61,526.55,488.05,611.16,547.91,289.18,,,,,
Balance Sheet,Fixed Assets,55.57,,,,58.16,,,,59.61,,,,61.10,160.20,145.17,113.67,72.11,26.69,31.96,37.98,11.61,,,,,
Balance Sheet,CWIP,308.73,,,,308.87,,,,311.68,,,,308.54,17.16,18.71,18.90,18.90,18.90,299.50,305.96,0.00,,,,,
Balance Sheet,Investments,59.45,,,,124.28,,,,124.28,,,,124.28,140.88,137.00,137.46,137.46,115.87,0.00,0.19,8.84,,,,,
Balance Sheet,Other Assets,112.57,,,,107.94,,,,120.78,,,,118.97,360.69,362.78,351.58,298.08,326.59,279.70,203.78,268.73,,,,,
Balance Sheet,Total Assets,536.32,,,,599.25,,,,616.35,,,,612.89,678.93,663.66,621.61,526.55,488.05,611.16,547.91,289.18,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-0.65,,,,6.26,,,,6.82,,,,8.87,-12.57,-6.90,0.00,6.72,-47.96,31.77,,-14.62,,,,,
Cash Flows,Cash from Investing Activity,3.63,,,,4.29,,,,-7.80,,,,60.78,2.88,0.50,0.00,158.67,112.26,-133.59,,8.15,,,,,
Cash Flows,Cash from Financing Activity,-3.89,,,,-10.17,,,,6.16,,,,-2.49,11.07,16.58,0.00,-168.65,-62.93,103.26,,5.64,,,,,
Cash Flows,Net Cash Flow,-0.91,,,,0.38,,,,5.18,,,,67.16,1.38,10.18,0.00,-3.26,1.37,1.44,,-0.83,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,124.53,,,,97.02,,,,117.53,,,,111.28,56.23,48.50,70.67,72.69,62.60,71.43,92.73,1050.78,,,,,
Ratios,Inventory Days,79.71,,,,52.24,,,,54.25,,,,48.14,64.15,63.91,62.96,51.68,62.46,47.44,96.09,57.36,,,,,
Ratios,Days Payable,243.65,,,,231.35,,,,211.49,,,,206.80,349.12,509.07,463.74,115.26,128.49,91.94,142.36,132.88,,,,,
Ratios,Cash Conversion Cycle,-39.41,,,,-82.09,,,,-39.71,,,,-47.38,-228.74,-396.66,-330.10,9.10,-3.43,26.93,46.46,975.26,,,,,
Ratios,Working Capital Days,-1524.89,,,,-1130.44,,,,-839.45,,,,-675.13,35.21,22.26,79.18,32.68,-5.99,-17.83,39.89,841.91,,,,,
Ratios,ROCE %,,,,,3.86%,,,,4.35%,,,,16.99%,-35.64%,-0.53%,-3.81%,-5.57%,-4.09%,-1.14%,-2.91%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.24%,63.21%,63.17%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.12%,0.00%,0.06%,0.01%,0.00%,0.03%,0.01%,0.16%,0.00%,0.01%,0.03%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,36.25%,36.65%,36.83%,36.81%,36.85%,36.86%,36.83%,36.86%,36.70%,36.87%,36.86%,36.83%,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,41724,40688,41466,41422,40804,40252,37975,39450,42397,43422,45050,42839,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.24%,,,,63.13%,,,,63.13%,,,,63.13%,,,,,,,,,63.24%,63.24%,63.24%,63.24%,63.08%
Shareholding Pattern (Yearly),FIIs,0.01%,,,,0.06%,,,,0.01%,,,,0.03%,,,,,,,,,0.00%,0.00%,0.00%,0.03%,0.00%
Shareholding Pattern (Yearly),DIIs,0.50%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,,1.41%,0.94%,0.78%,0.51%,0.51%
Shareholding Pattern (Yearly),Public,36.24%,,,,36.81%,,,,36.86%,,,,36.83%,,,,,,,,,35.35%,35.82%,35.97%,36.22%,36.41%
Shareholding Pattern (Yearly),No. of Shareholders,43124,,,,41422,,,,39450,,,,42839,,,,,,,,,27773,29318,29817,29663,30035
,,,,,,,,,,,,,,,,,,,,,,,,,,,
