Section,,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2022,Dec 2012,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2020,Mar 2021
Cash Flows,Cash from Investing Activity,-361,,,,,,-340,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-80,,,,,,210,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-321,,,,,,-173,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,152,,,,,,157,,,,,,,,,,,,,,,
Ratios,Inventory Days,69,,,,,,68,,,,,,,,,,,,,,,
Ratios,Days Payable,146,,,,,,141,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,75,,,,,,84,,,,,,,,,,,,,,,
Ratios,Working Capital Days,39,,,,,,59,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,10%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,75.00%,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.53%,,5.39%,7.55%,8.45%,9.46%,10.18%,10.72%,11.89%,12.06%,12.28%,11.85%,10.27%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.59%,,11.89%,9.73%,8.98%,8.07%,7.37%,6.92%,5.95%,5.64%,5.42%,5.70%,7.01%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,12.88%,,7.69%,7.71%,7.56%,7.48%,7.47%,7.36%,7.15%,7.29%,7.29%,7.45%,7.70%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,89739,,105205,97757,106396,109435,112399,102093,102557,132505,138259,148890,171077,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,75.00%,,,75.00%,,,,,75.00%,,,,75.00%,,,,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Yearly),FIIs,,3.30%,,,3.68%,,,,,8.45%,,,,11.89%,,,,10.27%,4.37%,3.21%,3.31%,3.83%
Shareholding Pattern (Yearly),DIIs,,12.95%,,,8.22%,,,,,8.98%,,,,5.95%,,,,7.01%,12.54%,13.55%,11.61%,7.26%
Shareholding Pattern (Yearly),Public,,8.75%,,,13.10%,,,,,7.56%,,,,7.15%,,,,7.70%,8.09%,8.24%,10.08%,13.91%
Shareholding Pattern (Yearly),No. of Shareholders,,65551,,,83187,,,,,106396,,,,102557,,,,171077,64014,58583,69683,76229
,,,,,,,,,,,,,,,,,,,,,,,
